CIMS,JCIMS,CER Prices
Natural Gas,Natural Gas,Natural Gas
Natural Gas Feedstock,Natural Gas,Natural Gas
Heavy Fuel Oil,Fuel Oil,Oil
Light Fuel Oil,Fuel Oil,Oil
Gasoline,Gasoline,Gasoline
Diesel,Diesel,Diesel
Kerosene,,
Petrochemical Feedstock,,
Naphtha Specialties,,
Asphalt,,
Lubricants,,
Other Non-Energy Products,,
Renewable Natural Gas,Biogas,
Black Liquor,Black Liquor,
Thermal Coal,Coal,
Metallurgical Coal,Coal,
Coke,Coke,
Jet Fuel,Jet Fuel,
SAF,,
LPG,LPG,
Propane,Propane,
Butane,,
Ethane,,
Refinery Fuel Gas,Refinergy Fuel Gas,
Solid Biomass,Solid Biomass,
Uranium,Uranium,
Waste,Waste Fuel,
Petroleum Coke,Petroleum Coke,
Electricity,Electricity,Electricity
Ethanol,Ethanol,
Renewable Diesel,Renewable Diesel,
Biodiesel,Biodiesel,
Renewable Gasoline,,
Hydrogen,Hydrogen,
