CIMS,CER (Grouped)
Coal Mining,Industrial
Natural Gas,Industrial
Petroleum Crude,Industrial
Petroleum Refining,Industrial
Electricity,Industrial
Ethanol,Industrial
Biodiesel,Industrial
Hydrogen,Industrial
Mining,Industrial
Industrial Minerals,Industrial
Chemical Products,Industrial
Pulp and Paper,Industrial
Metal Smelting,Industrial
Iron and Steel,Industrial
Light Industrial,Industrial
Residential,Residential
Commercial,Commercial
Transportation Passenger,Transportation
Transportation Freight,Transportation
Waste,Industrial
Agriculture,Industrial
Construction,Industrial
Forestry,Industrial
