parameter,context,sub_context,target,unit,region,year,value
service_request,,,chemicals.product.ammonia_methanol.ammonia_synthesis,tonne,ab,2000,0.845976786
service_request,,,chemicals.product.ammonia_methanol.ammonia_synthesis,tonne,ab,2001,0.857560844
service_request,,,chemicals.product.ammonia_methanol.ammonia_synthesis,tonne,ab,2002,0.869144902
service_request,,,chemicals.product.ammonia_methanol.ammonia_synthesis,tonne,ab,2003,0.88072896
service_request,,,chemicals.product.ammonia_methanol.ammonia_synthesis,tonne,ab,2004,0.892313018
service_request,,,chemicals.product.ammonia_methanol.ammonia_synthesis,tonne,ab,2005,0.903897076
service_request,,,chemicals.product.ammonia_methanol.ammonia_synthesis,tonne,ab,2006,0.923117661
service_request,,,chemicals.product.ammonia_methanol.ammonia_synthesis,tonne,ab,2007,0.942338246
service_request,,,chemicals.product.ammonia_methanol.ammonia_synthesis,tonne,ab,2008,0.96155883
service_request,,,chemicals.product.ammonia_methanol.ammonia_synthesis,tonne,ab,2009,0.980779415
service_request,,,chemicals.product.ammonia_methanol.ammonia_synthesis,tonne,ab,2010,1
service_request,,,chemicals.product.ammonia_methanol.ammonia_synthesis,tonne,ab,,1
service_request,,,chemicals.product.ammonia_methanol.ammonia_synthesis,tonne,bc,,0.85
service_request,,,chemicals.product.ammonia_methanol.ammonia_synthesis,tonne,mb,,0.85
service_request,,,chemicals.product.ammonia_methanol.ammonia_synthesis,tonne,nb,,1
service_request,,,chemicals.product.ammonia_methanol.ammonia_synthesis,tonne,nl,,1
service_request,,,chemicals.product.ammonia_methanol.ammonia_synthesis,tonne,ns,,1
service_request,,,chemicals.product.ammonia_methanol.ammonia_synthesis,tonne,on,,1
service_request,,,chemicals.product.ammonia_methanol.ammonia_synthesis,tonne,pe,,1
service_request,,,chemicals.product.ammonia_methanol.ammonia_synthesis,tonne,qc,,0
service_request,,,chemicals.product.ammonia_methanol.ammonia_synthesis,tonne,sk,,1
service_request,,,chemicals.product.ammonia_methanol.combined_ammonia_methanol_synthesis,tonne,ab,,0
service_request,,,chemicals.product.ammonia_methanol.combined_ammonia_methanol_synthesis,tonne,bc,,0
service_request,,,chemicals.product.ammonia_methanol.combined_ammonia_methanol_synthesis,tonne,mb,,0
service_request,,,chemicals.product.ammonia_methanol.combined_ammonia_methanol_synthesis,tonne,nb,,0
service_request,,,chemicals.product.ammonia_methanol.combined_ammonia_methanol_synthesis,tonne,nl,,0
service_request,,,chemicals.product.ammonia_methanol.combined_ammonia_methanol_synthesis,tonne,ns,,0
service_request,,,chemicals.product.ammonia_methanol.combined_ammonia_methanol_synthesis,tonne,on,,0
service_request,,,chemicals.product.ammonia_methanol.combined_ammonia_methanol_synthesis,tonne,pe,,0
service_request,,,chemicals.product.ammonia_methanol.combined_ammonia_methanol_synthesis,tonne,qc,,0
service_request,,,chemicals.product.ammonia_methanol.combined_ammonia_methanol_synthesis,tonne,sk,,0
service_request,,,chemicals.product.ammonia_methanol.methanol_synthesis,tonne,ab,2000,0.154023214
service_request,,,chemicals.product.ammonia_methanol.methanol_synthesis,tonne,ab,2001,0.142439156
service_request,,,chemicals.product.ammonia_methanol.methanol_synthesis,tonne,ab,2002,0.130855098
service_request,,,chemicals.product.ammonia_methanol.methanol_synthesis,tonne,ab,2003,0.11927104
service_request,,,chemicals.product.ammonia_methanol.methanol_synthesis,tonne,ab,2004,0.107686982
service_request,,,chemicals.product.ammonia_methanol.methanol_synthesis,tonne,ab,2005,0.096102924
service_request,,,chemicals.product.ammonia_methanol.methanol_synthesis,tonne,ab,2006,0.076882339
service_request,,,chemicals.product.ammonia_methanol.methanol_synthesis,tonne,ab,2007,0.057661754
service_request,,,chemicals.product.ammonia_methanol.methanol_synthesis,tonne,ab,2008,0.03844117
service_request,,,chemicals.product.ammonia_methanol.methanol_synthesis,tonne,ab,2009,0.019220585
service_request,,,chemicals.product.ammonia_methanol.methanol_synthesis,tonne,ab,2010,0
service_request,,,chemicals.product.ammonia_methanol.methanol_synthesis,tonne,ab,,0
service_request,,,chemicals.product.ammonia_methanol.methanol_synthesis,tonne,bc,,0.5
service_request,,,chemicals.product.ammonia_methanol.methanol_synthesis,tonne,mb,,0.5
service_request,,,chemicals.product.ammonia_methanol.methanol_synthesis,tonne,nb,,0
service_request,,,chemicals.product.ammonia_methanol.methanol_synthesis,tonne,nl,,0
service_request,,,chemicals.product.ammonia_methanol.methanol_synthesis,tonne,ns,,0
service_request,,,chemicals.product.ammonia_methanol.methanol_synthesis,tonne,on,,0
service_request,,,chemicals.product.ammonia_methanol.methanol_synthesis,tonne,pe,,0
service_request,,,chemicals.product.ammonia_methanol.methanol_synthesis,tonne,qc,,1
service_request,,,chemicals.product.ammonia_methanol.methanol_synthesis,tonne,sk,,0
