parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,0.0
market_share_total,,,,%,bc,2000,0.0
market_share_total,,,,%,mb,2000,0.0
market_share_total,,,,%,nb,2000,0.2
market_share_total,,,,%,nl,2000,0.2
market_share_total,,,,%,ns,2000,0.2
market_share_total,,,,%,on,2000,0.2
market_share_total,,,,%,pe,2000,0.2
market_share_total,,,,%,qc,2000,0.2
market_share_total,,,,%,sk,2000,0.0
fom,,,,$,ab,2000,24490248.0
fom,,,,$,bc,2000,24490248.0
fom,,,,$,mb,2000,24490248.0
fom,,,,$,nb,2000,24490247.57
fom,,,,$,nl,2000,24490247.57
fom,,,,$,ns,2000,24490247.57
fom,,,,$,on,2000,24490247.57
fom,,,,$,pe,2000,24490247.57
fom,,,,$,qc,2000,24490247.57
fom,,,,$,sk,2000,24490247.57
fom,,,,$,ab,2005,24490248.0
fom,,,,$,bc,2005,24490248.0
fom,,,,$,mb,2005,24490248.0
fom,,,,$,nb,2005,24490247.57
fom,,,,$,nl,2005,24490247.57
fom,,,,$,ns,2005,24490247.57
fom,,,,$,on,2005,24490247.57
fom,,,,$,pe,2005,24490247.57
fom,,,,$,qc,2005,24490247.57
fom,,,,$,sk,2005,24490247.57
fom,,,,$,ab,2010,24490248.0
fom,,,,$,bc,2010,24490248.0
fom,,,,$,mb,2010,24490248.0
fom,,,,$,nb,2010,24490247.57
fom,,,,$,nl,2010,24490247.57
fom,,,,$,ns,2010,24490247.57
fom,,,,$,on,2010,24490247.57
fom,,,,$,pe,2010,24490247.57
fom,,,,$,qc,2010,24490247.57
fom,,,,$,sk,2010,24490247.57
fom,,,,$,ab,2015,24490248.0
fom,,,,$,bc,2015,24490248.0
fom,,,,$,mb,2015,24490248.0
fom,,,,$,nb,2015,24490247.57
fom,,,,$,nl,2015,24490247.57
fom,,,,$,ns,2015,24490247.57
fom,,,,$,on,2015,24490247.57
fom,,,,$,pe,2015,24490247.57
fom,,,,$,qc,2015,24490247.57
fom,,,,$,sk,2015,24490247.57
fom,,,,$,ab,2020,24490248.0
fom,,,,$,bc,2020,24490248.0
fom,,,,$,mb,2020,24490248.0
fom,,,,$,nb,2020,24490247.57
fom,,,,$,nl,2020,24490247.57
fom,,,,$,ns,2020,24490247.57
fom,,,,$,on,2020,24490247.57
fom,,,,$,pe,2020,24490247.57
fom,,,,$,qc,2020,24490247.57
fom,,,,$,sk,2020,24490247.57
fom,,,,$,ab,2025,24490248.0
fom,,,,$,bc,2025,24490248.0
fom,,,,$,mb,2025,24490248.0
fom,,,,$,nb,2025,24490247.57
fom,,,,$,nl,2025,24490247.57
fom,,,,$,ns,2025,24490247.57
fom,,,,$,on,2025,24490247.57
fom,,,,$,pe,2025,24490247.57
fom,,,,$,qc,2025,24490247.57
fom,,,,$,sk,2025,24490247.57
fom,,,,$,ab,2030,24490248.0
fom,,,,$,bc,2030,24490248.0
fom,,,,$,mb,2030,24490248.0
fom,,,,$,nb,2030,24490247.57
fom,,,,$,nl,2030,24490247.57
fom,,,,$,ns,2030,24490247.57
fom,,,,$,on,2030,24490247.57
fom,,,,$,pe,2030,24490247.57
fom,,,,$,qc,2030,24490247.57
fom,,,,$,sk,2030,24490247.57
fom,,,,$,ab,2035,24490248.0
fom,,,,$,bc,2035,24490248.0
fom,,,,$,mb,2035,24490248.0
fom,,,,$,nb,2035,24490247.57
fom,,,,$,nl,2035,24490247.57
fom,,,,$,ns,2035,24490247.57
fom,,,,$,on,2035,24490247.57
fom,,,,$,pe,2035,24490247.57
fom,,,,$,qc,2035,24490247.57
fom,,,,$,sk,2035,24490247.57
fom,,,,$,ab,2040,24490248.0
fom,,,,$,bc,2040,24490248.0
fom,,,,$,mb,2040,24490248.0
fom,,,,$,nb,2040,24490247.57
fom,,,,$,nl,2040,24490247.57
fom,,,,$,ns,2040,24490247.57
fom,,,,$,on,2040,24490247.57
fom,,,,$,pe,2040,24490247.57
fom,,,,$,qc,2040,24490247.57
fom,,,,$,sk,2040,24490247.57
fom,,,,$,ab,2045,24490248.0
fom,,,,$,bc,2045,24490248.0
fom,,,,$,mb,2045,24490248.0
fom,,,,$,nb,2045,24490247.57
fom,,,,$,nl,2045,24490247.57
fom,,,,$,ns,2045,24490247.57
fom,,,,$,on,2045,24490247.57
fom,,,,$,pe,2045,24490247.57
fom,,,,$,qc,2045,24490247.57
fom,,,,$,sk,2045,24490247.57
fom,,,,$,ab,2050,24490248.0
fom,,,,$,bc,2050,24490248.0
fom,,,,$,mb,2050,24490248.0
fom,,,,$,nb,2050,24490247.57
fom,,,,$,nl,2050,24490247.57
fom,,,,$,ns,2050,24490247.57
fom,,,,$,on,2050,24490247.57
fom,,,,$,pe,2050,24490247.57
fom,,,,$,qc,2050,24490247.57
fom,,,,$,sk,2050,24490247.57
