parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,1.0
market_share_total,,,,%,bc,2000,1.0
market_share_total,,,,%,mb,2000,1.0
market_share_total,,,,%,nb,2000,0.8
market_share_total,,,,%,nl,2000,0.8
market_share_total,,,,%,ns,2000,0.8
market_share_total,,,,%,on,2000,0.8
market_share_total,,,,%,pe,2000,0.8
market_share_total,,,,%,qc,2000,0.8
market_share_total,,,,%,sk,2000,1.0
fcc,,,,$,ab,2000,583101133.0
fcc,,,,$,bc,2000,583101133.0
fcc,,,,$,mb,2000,583101133.0
fcc,,,,$,nb,2000,583101132.5
fcc,,,,$,nl,2000,583101132.5
fcc,,,,$,ns,2000,583101132.5
fcc,,,,$,on,2000,583101132.5
fcc,,,,$,pe,2000,583101132.5
fcc,,,,$,qc,2000,583101132.5
fcc,,,,$,sk,2000,583101132.5
fcc,,,,$,ab,2005,583101133.0
fcc,,,,$,bc,2005,583101133.0
fcc,,,,$,mb,2005,583101133.0
fcc,,,,$,nb,2005,583101132.5
fcc,,,,$,nl,2005,583101132.5
fcc,,,,$,ns,2005,583101132.5
fcc,,,,$,on,2005,583101132.5
fcc,,,,$,pe,2005,583101132.5
fcc,,,,$,qc,2005,583101132.5
fcc,,,,$,sk,2005,583101132.5
fcc,,,,$,ab,2010,583101133.0
fcc,,,,$,bc,2010,583101133.0
fcc,,,,$,mb,2010,583101133.0
fcc,,,,$,nb,2010,583101132.5
fcc,,,,$,nl,2010,583101132.5
fcc,,,,$,ns,2010,583101132.5
fcc,,,,$,on,2010,583101132.5
fcc,,,,$,pe,2010,583101132.5
fcc,,,,$,qc,2010,583101132.5
fcc,,,,$,sk,2010,583101132.5
fcc,,,,$,ab,2015,583101133.0
fcc,,,,$,bc,2015,583101133.0
fcc,,,,$,mb,2015,583101133.0
fcc,,,,$,nb,2015,583101132.5
fcc,,,,$,nl,2015,583101132.5
fcc,,,,$,ns,2015,583101132.5
fcc,,,,$,on,2015,583101132.5
fcc,,,,$,pe,2015,583101132.5
fcc,,,,$,qc,2015,583101132.5
fcc,,,,$,sk,2015,583101132.5
fcc,,,,$,ab,2020,583101133.0
fcc,,,,$,bc,2020,583101133.0
fcc,,,,$,mb,2020,583101133.0
fcc,,,,$,nb,2020,583101132.5
fcc,,,,$,nl,2020,583101132.5
fcc,,,,$,ns,2020,583101132.5
fcc,,,,$,on,2020,583101132.5
fcc,,,,$,pe,2020,583101132.5
fcc,,,,$,qc,2020,583101132.5
fcc,,,,$,sk,2020,583101132.5
fcc,,,,$,ab,2025,583101133.0
fcc,,,,$,bc,2025,583101133.0
fcc,,,,$,mb,2025,583101133.0
fcc,,,,$,nb,2025,583101132.5
fcc,,,,$,nl,2025,583101132.5
fcc,,,,$,ns,2025,583101132.5
fcc,,,,$,on,2025,583101132.5
fcc,,,,$,pe,2025,583101132.5
fcc,,,,$,qc,2025,583101132.5
fcc,,,,$,sk,2025,583101132.5
fcc,,,,$,ab,2030,583101133.0
