parameter,context,sub_context,target,unit,region,year,value
fcc,,,,$,bc,2000,87020052.0
fcc,,,,$,mb,2000,87020051.89
fcc,,,,$,nl,2000,87020051.89
fcc,,,,$,ns,2000,87020051.89
fcc,,,,$,on,2000,87020051.89
fcc,,,,$,qc,2000,87020051.89
fcc,,,,$,sk,2000,87020051.89
fcc,,,,$,bc,2005,87020052.0
fcc,,,,$,mb,2005,87020051.89
fcc,,,,$,nl,2005,87020051.89
fcc,,,,$,ns,2005,87020051.89
fcc,,,,$,on,2005,87020051.89
fcc,,,,$,qc,2005,87020051.89
fcc,,,,$,sk,2005,87020051.89
fcc,,,,$,bc,2010,87020052.0
fcc,,,,$,mb,2010,87020051.89
fcc,,,,$,nl,2010,87020051.89
fcc,,,,$,ns,2010,87020051.89
fcc,,,,$,on,2010,87020051.89
fcc,,,,$,qc,2010,87020051.89
fcc,,,,$,sk,2010,87020051.89
fcc,,,,$,bc,2015,87020052.0
fcc,,,,$,mb,2015,87020051.89
fcc,,,,$,nl,2015,87020051.89
fcc,,,,$,ns,2015,87020051.89
fcc,,,,$,on,2015,87020051.89
fcc,,,,$,qc,2015,87020051.89
fcc,,,,$,sk,2015,87020051.89
fcc,,,,$,bc,2020,87020052.0
fcc,,,,$,mb,2020,87020051.89
fcc,,,,$,nl,2020,87020051.89
fcc,,,,$,ns,2020,87020051.89
fcc,,,,$,on,2020,87020051.89
fcc,,,,$,qc,2020,87020051.89
fcc,,,,$,sk,2020,87020051.89
fcc,,,,$,bc,2025,87020052.0
fcc,,,,$,mb,2025,87020051.89
fcc,,,,$,nl,2025,87020051.89
fcc,,,,$,ns,2025,87020051.89
fcc,,,,$,on,2025,87020051.89
fcc,,,,$,qc,2025,87020051.89
fcc,,,,$,sk,2025,87020051.89
fcc,,,,$,bc,2030,87020052.0
fcc,,,,$,mb,2030,87020051.89
fcc,,,,$,nl,2030,87020051.89
fcc,,,,$,ns,2030,87020051.89
fcc,,,,$,on,2030,87020051.89
fcc,,,,$,qc,2030,87020051.89
fcc,,,,$,sk,2030,87020051.89
fcc,,,,$,bc,2035,87020052.0
fcc,,,,$,mb,2035,87020051.89
fcc,,,,$,nl,2035,87020051.89
fcc,,,,$,ns,2035,87020051.89
fcc,,,,$,on,2035,87020051.89
fcc,,,,$,qc,2035,87020051.89
fcc,,,,$,sk,2035,87020051.89
fcc,,,,$,bc,2040,87020052.0
fcc,,,,$,mb,2040,87020051.89
fcc,,,,$,nl,2040,87020051.89
fcc,,,,$,ns,2040,87020051.89
fcc,,,,$,on,2040,87020051.89
fcc,,,,$,qc,2040,87020051.89
fcc,,,,$,sk,2040,87020051.89
fcc,,,,$,bc,2045,87020052.0
fcc,,,,$,mb,2045,87020051.89
fcc,,,,$,nl,2045,87020051.89
fcc,,,,$,ns,2045,87020051.89
fcc,,,,$,on,2045,87020051.89
fcc,,,,$,qc,2045,87020051.89
