parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,bc,2000,0.48
market_share_total,,,,%,mb,2000,0.42
market_share_total,,,,%,nl,2000,0.42
market_share_total,,,,%,ns,2000,0.42
market_share_total,,,,%,on,2000,0.42
market_share_total,,,,%,qc,2000,1.0
market_share_total,,,,%,sk,2000,0.42
fcc,,,,$,bc,2000,1923680.0
fcc,,,,$,mb,2000,1923680.165
fcc,,,,$,nl,2000,1923680.165
fcc,,,,$,ns,2000,1923680.165
fcc,,,,$,on,2000,1923680.165
fcc,,,,$,qc,2000,1923680.165
fcc,,,,$,sk,2000,1923680.165
fcc,,,,$,bc,2005,1923680.0
fcc,,,,$,mb,2005,1923680.165
fcc,,,,$,nl,2005,1923680.165
fcc,,,,$,ns,2005,1923680.165
fcc,,,,$,on,2005,1923680.165
fcc,,,,$,qc,2005,1923680.165
fcc,,,,$,sk,2005,1923680.165
fcc,,,,$,bc,2010,1923680.0
fcc,,,,$,mb,2010,1923680.165
fcc,,,,$,nl,2010,1923680.165
fcc,,,,$,ns,2010,1923680.165
fcc,,,,$,on,2010,1923680.165
fcc,,,,$,qc,2010,1923680.165
fcc,,,,$,sk,2010,1923680.165
fcc,,,,$,bc,2015,1923680.0
fcc,,,,$,mb,2015,1923680.165
fcc,,,,$,nl,2015,1923680.165
fcc,,,,$,ns,2015,1923680.165
fcc,,,,$,on,2015,1923680.165
fcc,,,,$,qc,2015,1923680.165
fcc,,,,$,sk,2015,1923680.165
fcc,,,,$,bc,2020,1923680.0
fcc,,,,$,mb,2020,1923680.165
fcc,,,,$,nl,2020,1923680.165
fcc,,,,$,ns,2020,1923680.165
fcc,,,,$,on,2020,1923680.165
fcc,,,,$,qc,2020,1923680.165
fcc,,,,$,sk,2020,1923680.165
fcc,,,,$,bc,2025,1923680.0
fcc,,,,$,mb,2025,1923680.165
fcc,,,,$,nl,2025,1923680.165
fcc,,,,$,ns,2025,1923680.165
fcc,,,,$,on,2025,1923680.165
fcc,,,,$,qc,2025,1923680.165
fcc,,,,$,sk,2025,1923680.165
fcc,,,,$,bc,2030,1923680.0
fcc,,,,$,mb,2030,1923680.165
fcc,,,,$,nl,2030,1923680.165
fcc,,,,$,ns,2030,1923680.165
fcc,,,,$,on,2030,1923680.165
fcc,,,,$,qc,2030,1923680.165
fcc,,,,$,sk,2030,1923680.165
fcc,,,,$,bc,2035,1923680.0
fcc,,,,$,mb,2035,1923680.165
fcc,,,,$,nl,2035,1923680.165
fcc,,,,$,ns,2035,1923680.165
fcc,,,,$,on,2035,1923680.165
fcc,,,,$,qc,2035,1923680.165
fcc,,,,$,sk,2035,1923680.165
fcc,,,,$,bc,2040,1923680.0
fcc,,,,$,mb,2040,1923680.165
fcc,,,,$,nl,2040,1923680.165
fcc,,,,$,ns,2040,1923680.165
fcc,,,,$,on,2040,1923680.165
fcc,,,,$,qc,2040,1923680.165
fcc,,,,$,sk,2040,1923680.165
fcc,,,,$,bc,2045,1923680.0
fcc,,,,$,mb,2045,1923680.165
fcc,,,,$,nl,2045,1923680.165
fcc,,,,$,ns,2045,1923680.165
fcc,,,,$,on,2045,1923680.165
fcc,,,,$,qc,2045,1923680.165
fcc,,,,$,sk,2045,1923680.165
fcc,,,,$,bc,2050,1923680.0
fcc,,,,$,mb,2050,1923680.165
fcc,,,,$,nl,2050,1923680.165
fcc,,,,$,ns,2050,1923680.165
fcc,,,,$,on,2050,1923680.165
fcc,,,,$,qc,2050,1923680.165
fcc,,,,$,sk,2050,1923680.165
fom,,,,$,bc,2000,2183845.0
fom,,,,$,mb,2000,2183844.836
fom,,,,$,nl,2000,2183844.836
fom,,,,$,ns,2000,2183844.836
fom,,,,$,on,2000,2183844.836
fom,,,,$,qc,2000,2183844.836
fom,,,,$,sk,2000,2183844.836
fom,,,,$,bc,2005,2183845.0
fom,,,,$,mb,2005,2183844.836
fom,,,,$,nl,2005,2183844.836
fom,,,,$,ns,2005,2183844.836
fom,,,,$,on,2005,2183844.836
fom,,,,$,qc,2005,2183844.836
fom,,,,$,sk,2005,2183844.836
