parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,bc,2000,0.55
market_share_total,,,,%,mb,2000,0.55
market_share_total,,,,%,nl,2000,0.55
market_share_total,,,,%,ns,2000,0.55
market_share_total,,,,%,on,2000,0.55
market_share_total,,,,%,qc,2000,0.5
market_share_total,,,,%,sk,2000,0.55
fcc,,,,$,bc,2000,145212192.0
fcc,,,,$,mb,2000,145212191.9
fcc,,,,$,nl,2000,145212191.9
fcc,,,,$,ns,2000,145212191.9
fcc,,,,$,on,2000,145212191.9
fcc,,,,$,qc,2000,145212191.9
fcc,,,,$,sk,2000,145212191.9
fcc,,,,$,bc,2005,145212192.0
fcc,,,,$,mb,2005,145212191.9
fcc,,,,$,nl,2005,145212191.9
fcc,,,,$,ns,2005,145212191.9
fcc,,,,$,on,2005,145212191.9
fcc,,,,$,qc,2005,145212191.9
fcc,,,,$,sk,2005,145212191.9
fcc,,,,$,bc,2010,145212192.0
fcc,,,,$,mb,2010,145212191.9
fcc,,,,$,nl,2010,145212191.9
fcc,,,,$,ns,2010,145212191.9
fcc,,,,$,on,2010,145212191.9
fcc,,,,$,qc,2010,145212191.9
fcc,,,,$,sk,2010,145212191.9
fcc,,,,$,bc,2015,145212192.0
fcc,,,,$,mb,2015,145212191.9
fcc,,,,$,nl,2015,145212191.9
fcc,,,,$,ns,2015,145212191.9
fcc,,,,$,on,2015,145212191.9
fcc,,,,$,qc,2015,145212191.9
fcc,,,,$,sk,2015,145212191.9
fcc,,,,$,bc,2020,145212192.0
fcc,,,,$,mb,2020,145212191.9
fcc,,,,$,nl,2020,145212191.9
fcc,,,,$,ns,2020,145212191.9
fcc,,,,$,on,2020,145212191.9
fcc,,,,$,qc,2020,145212191.9
fcc,,,,$,sk,2020,145212191.9
fcc,,,,$,bc,2025,145212192.0
fcc,,,,$,mb,2025,145212191.9
fcc,,,,$,nl,2025,145212191.9
fcc,,,,$,ns,2025,145212191.9
fcc,,,,$,on,2025,145212191.9
fcc,,,,$,qc,2025,145212191.9
fcc,,,,$,sk,2025,145212191.9
fcc,,,,$,bc,2030,145212192.0
fcc,,,,$,mb,2030,145212191.9
fcc,,,,$,nl,2030,145212191.9
fcc,,,,$,ns,2030,145212191.9
fcc,,,,$,on,2030,145212191.9
fcc,,,,$,qc,2030,145212191.9
fcc,,,,$,sk,2030,145212191.9
fcc,,,,$,bc,2035,145212192.0
fcc,,,,$,mb,2035,145212191.9
fcc,,,,$,nl,2035,145212191.9
fcc,,,,$,ns,2035,145212191.9
fcc,,,,$,on,2035,145212191.9
fcc,,,,$,qc,2035,145212191.9
fcc,,,,$,sk,2035,145212191.9
fcc,,,,$,bc,2040,145212192.0
fcc,,,,$,mb,2040,145212191.9
fcc,,,,$,nl,2040,145212191.9
fcc,,,,$,ns,2040,145212191.9
fcc,,,,$,on,2040,145212191.9
fcc,,,,$,qc,2040,145212191.9
fcc,,,,$,sk,2040,145212191.9
fcc,,,,$,bc,2045,145212192.0
fcc,,,,$,mb,2045,145212191.9
fcc,,,,$,nl,2045,145212191.9
fcc,,,,$,ns,2045,145212191.9
fcc,,,,$,on,2045,145212191.9
fcc,,,,$,qc,2045,145212191.9
fcc,,,,$,sk,2045,145212191.9
fcc,,,,$,bc,2050,145212192.0
fcc,,,,$,mb,2050,145212191.9
fcc,,,,$,nl,2050,145212191.9
fcc,,,,$,ns,2050,145212191.9
fcc,,,,$,on,2050,145212191.9
fcc,,,,$,qc,2050,145212191.9
fcc,,,,$,sk,2050,145212191.9
fom,,,,$,bc,2000,6834984.0
fom,,,,$,mb,2000,6834983.763
fom,,,,$,nl,2000,6834983.763
fom,,,,$,ns,2000,6834983.763
fom,,,,$,on,2000,6834983.763
fom,,,,$,qc,2000,6834983.763
