parameter,context,sub_context,target,unit,region,year,value
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,,0.520934918
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2000,0.651272779
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2001,0.6305774376000001
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2002,0.6098820962
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2003,0.5891867548
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2004,0.5684914134
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2005,0.547796072
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2006,0.5468412388
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2007,0.5458864056
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2008,0.5449315724
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2009,0.5439767392
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2010,0.543021906
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2011,0.542057702
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2012,0.5410934980000001
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2013,0.540129294
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2014,0.53916509
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2015,0.538200886
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2016,0.5372276378
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2017,0.5362543896
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2018,0.5352811414
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2019,0.5343078932
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2020,0.533334645
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2021,0.5323526876000001
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2022,0.5313707302
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2023,0.5303887728000001
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2024,0.5294068154
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2025,0.528424858
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2026,0.5279275854000001
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2027,0.5274303128000001
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2028,0.5269330402
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2029,0.5264357676
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2030,0.525938495
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2031,0.5254391506
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2032,0.5249398062
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2033,0.5244404618
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2034,0.5239411174
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2035,0.523441773
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2036,0.522940402
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2037,0.522439031
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2038,0.5219376600000001
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,ab,2039,0.521436289
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,bc,,0.520934918
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,bc,2000,0.651272779
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,bc,2001,0.6305774376000001
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,bc,2002,0.6098820962
service_request,,,chemicals.product.other_petrochemicals.petrochemicals.intermediate_production,tonne,bc,2003,0.5891867548
