parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,bc,2000,0.0
market_share_total,,,,%,mb,2000,0.5
market_share_total,,,,%,nb,2000,1.0
market_share_total,,,,%,nl,2000,0.5
market_share_total,,,,%,ns,2000,0.5
market_share_total,,,,%,qc,2000,0.5
market_share_total,,,,%,sk,2000,0.5
fcc,,,,$,bc,2000,187930340.0
fcc,,,,$,mb,2000,187930340.2
fcc,,,,$,nb,2000,187930340.2
fcc,,,,$,nl,2000,187930340.2
fcc,,,,$,ns,2000,187930340.2
fcc,,,,$,qc,2000,187930340.2
fcc,,,,$,sk,2000,187930340.2
fcc,,,,$,bc,2005,187930340.0
fcc,,,,$,mb,2005,187930340.2
fcc,,,,$,nb,2005,187930340.2
fcc,,,,$,nl,2005,187930340.2
fcc,,,,$,ns,2005,187930340.2
fcc,,,,$,qc,2005,187930340.2
fcc,,,,$,sk,2005,187930340.2
fcc,,,,$,bc,2010,187930340.0
fcc,,,,$,mb,2010,187930340.2
fcc,,,,$,nb,2010,187930340.2
fcc,,,,$,nl,2010,187930340.2
fcc,,,,$,ns,2010,187930340.2
fcc,,,,$,qc,2010,187930340.2
fcc,,,,$,sk,2010,187930340.2
fcc,,,,$,bc,2015,187930340.0
fcc,,,,$,mb,2015,187930340.2
fcc,,,,$,nb,2015,187930340.2
fcc,,,,$,nl,2015,187930340.2
fcc,,,,$,ns,2015,187930340.2
fcc,,,,$,qc,2015,187930340.2
fcc,,,,$,sk,2015,187930340.2
fcc,,,,$,bc,2020,187930340.0
fcc,,,,$,mb,2020,187930340.2
fcc,,,,$,nb,2020,187930340.2
fcc,,,,$,nl,2020,187930340.2
fcc,,,,$,ns,2020,187930340.2
fcc,,,,$,qc,2020,187930340.2
fcc,,,,$,sk,2020,187930340.2
fcc,,,,$,bc,2025,187930340.0
fcc,,,,$,mb,2025,187930340.2
fcc,,,,$,nb,2025,187930340.2
fcc,,,,$,nl,2025,187930340.2
fcc,,,,$,ns,2025,187930340.2
fcc,,,,$,qc,2025,187930340.2
fcc,,,,$,sk,2025,187930340.2
fcc,,,,$,bc,2030,187930340.0
fcc,,,,$,mb,2030,187930340.2
fcc,,,,$,nb,2030,187930340.2
fcc,,,,$,nl,2030,187930340.2
fcc,,,,$,ns,2030,187930340.2
fcc,,,,$,qc,2030,187930340.2
fcc,,,,$,sk,2030,187930340.2
fcc,,,,$,bc,2035,187930340.0
fcc,,,,$,mb,2035,187930340.2
fcc,,,,$,nb,2035,187930340.2
fcc,,,,$,nl,2035,187930340.2
fcc,,,,$,ns,2035,187930340.2
fcc,,,,$,qc,2035,187930340.2
fcc,,,,$,sk,2035,187930340.2
fcc,,,,$,bc,2040,187930340.0
fcc,,,,$,mb,2040,187930340.2
fcc,,,,$,nb,2040,187930340.2
fcc,,,,$,nl,2040,187930340.2
fcc,,,,$,ns,2040,187930340.2
fcc,,,,$,qc,2040,187930340.2
fcc,,,,$,sk,2040,187930340.2
fcc,,,,$,bc,2045,187930340.0
fcc,,,,$,mb,2045,187930340.2
fcc,,,,$,nb,2045,187930340.2
fcc,,,,$,nl,2045,187930340.2
fcc,,,,$,ns,2045,187930340.2
fcc,,,,$,qc,2045,187930340.2
fcc,,,,$,sk,2045,187930340.2
fcc,,,,$,bc,2050,187930340.0
fcc,,,,$,mb,2050,187930340.2
fcc,,,,$,nb,2050,187930340.2
fcc,,,,$,nl,2050,187930340.2
fcc,,,,$,ns,2050,187930340.2
fcc,,,,$,qc,2050,187930340.2
fcc,,,,$,sk,2050,187930340.2
fom,,,,$,bc,2000,16913731.0
fom,,,,$,mb,2000,16913730.62
fom,,,,$,nb,2000,16913730.62
fom,,,,$,nl,2000,16913730.62
fom,,,,$,ns,2000,16913730.62
fom,,,,$,qc,2000,16913730.62
fom,,,,$,sk,2000,16913730.62
fom,,,,$,bc,2005,16913731.0
fom,,,,$,mb,2005,16913730.62
fom,,,,$,nb,2005,16913730.62
fom,,,,$,nl,2005,16913730.62
fom,,,,$,ns,2005,16913730.62
fom,,,,$,qc,2005,16913730.62
fom,,,,$,sk,2005,16913730.62
fom,,,,$,bc,2010,16913731.0
fom,,,,$,mb,2010,16913730.62
fom,,,,$,nb,2010,16913730.62
fom,,,,$,nl,2010,16913730.62
fom,,,,$,ns,2010,16913730.62
fom,,,,$,qc,2010,16913730.62
fom,,,,$,sk,2010,16913730.62
fom,,,,$,bc,2015,16913731.0
fom,,,,$,mb,2015,16913730.62
fom,,,,$,nb,2015,16913730.62
fom,,,,$,nl,2015,16913730.62
fom,,,,$,ns,2015,16913730.62
fom,,,,$,qc,2015,16913730.62
fom,,,,$,sk,2015,16913730.62
fom,,,,$,bc,2020,16913731.0
fom,,,,$,mb,2020,16913730.62
fom,,,,$,nb,2020,16913730.62
fom,,,,$,nl,2020,16913730.62
fom,,,,$,ns,2020,16913730.62
fom,,,,$,qc,2020,16913730.62
fom,,,,$,sk,2020,16913730.62
fom,,,,$,bc,2025,16913731.0
fom,,,,$,mb,2025,16913730.62
fom,,,,$,nb,2025,16913730.62
fom,,,,$,nl,2025,16913730.62
fom,,,,$,ns,2025,16913730.62
fom,,,,$,qc,2025,16913730.62
fom,,,,$,sk,2025,16913730.62
fom,,,,$,bc,2030,16913731.0
fom,,,,$,mb,2030,16913730.62
fom,,,,$,nb,2030,16913730.62
fom,,,,$,nl,2030,16913730.62
fom,,,,$,ns,2030,16913730.62
fom,,,,$,qc,2030,16913730.62
fom,,,,$,sk,2030,16913730.62
fom,,,,$,bc,2035,16913731.0
fom,,,,$,mb,2035,16913730.62
fom,,,,$,nb,2035,16913730.62
fom,,,,$,nl,2035,16913730.62
fom,,,,$,ns,2035,16913730.62
fom,,,,$,qc,2035,16913730.62
fom,,,,$,sk,2035,16913730.62
fom,,,,$,bc,2040,16913731.0
fom,,,,$,mb,2040,16913730.62
fom,,,,$,nb,2040,16913730.62
fom,,,,$,nl,2040,16913730.62
fom,,,,$,ns,2040,16913730.62
fom,,,,$,qc,2040,16913730.62
fom,,,,$,sk,2040,16913730.62
fom,,,,$,bc,2045,16913731.0
fom,,,,$,mb,2045,16913730.62
fom,,,,$,nb,2045,16913730.62
fom,,,,$,nl,2045,16913730.62
fom,,,,$,ns,2045,16913730.62
fom,,,,$,qc,2045,16913730.62
fom,,,,$,sk,2045,16913730.62
fom,,,,$,bc,2050,16913731.0
fom,,,,$,mb,2050,16913730.62
fom,,,,$,nb,2050,16913730.62
fom,,,,$,nl,2050,16913730.62
fom,,,,$,ns,2050,16913730.62
fom,,,,$,qc,2050,16913730.62
fom,,,,$,sk,2050,16913730.62
