parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,0.2
market_share_total,,,,%,bc,2000,0.2
market_share_total,,,,%,sk,2000,0.4
emissions,CH4,Process,,tCH4,ab,2000,0.4504
emissions,CH4,Process,,tCH4,bc,2000,0.9198
emissions,CH4,Process,,tCH4,sk,2000,0.07215
emissions,CH4,Process,,tCH4,ab,2005,0.4504
emissions,CH4,Process,,tCH4,bc,2005,0.9198
emissions,CH4,Process,,tCH4,sk,2005,0.07215
emissions,CH4,Process,,tCH4,ab,2010,0.4504
emissions,CH4,Process,,tCH4,bc,2010,0.9198
emissions,CH4,Process,,tCH4,sk,2010,0.07215
emissions,CH4,Process,,tCH4,ab,2015,0.4504
emissions,CH4,Process,,tCH4,bc,2015,0.9198
emissions,CH4,Process,,tCH4,sk,2015,0.07215
emissions,CH4,Process,,tCH4,ab,2020,0.4504
emissions,CH4,Process,,tCH4,bc,2020,0.9198
emissions,CH4,Process,,tCH4,sk,2020,0.07215
emissions,CH4,Process,,tCH4,ab,2025,0.4504
emissions,CH4,Process,,tCH4,bc,2025,0.9198
emissions,CH4,Process,,tCH4,sk,2025,0.07215
emissions,CH4,Process,,tCH4,ab,2030,0.4504
emissions,CH4,Process,,tCH4,bc,2030,0.9198
emissions,CH4,Process,,tCH4,sk,2030,0.07215
emissions,CH4,Process,,tCH4,ab,2035,0.4504
emissions,CH4,Process,,tCH4,bc,2035,0.9198
emissions,CH4,Process,,tCH4,sk,2035,0.07215
emissions,CH4,Process,,tCH4,ab,2040,0.4504
emissions,CH4,Process,,tCH4,bc,2040,0.9198
emissions,CH4,Process,,tCH4,sk,2040,0.07215
emissions,CH4,Process,,tCH4,ab,2045,0.4504
emissions,CH4,Process,,tCH4,bc,2045,0.9198
emissions,CH4,Process,,tCH4,sk,2045,0.07215
emissions,CH4,Process,,tCH4,ab,2050,0.4504
emissions,CH4,Process,,tCH4,bc,2050,0.9198
emissions,CH4,Process,,tCH4,sk,2050,0.07215
