parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,0.04400004398
market_share_total,,,,%,bc,2000,0.11146615234811345
market_share_total,,,,%,mb,2000,0.06299998559
market_share_total,,,,%,nb,2000,0.017204010275016828
market_share_total,,,,%,nl,2000,0.008535853283106597
market_share_total,,,,%,ns,2000,0.016148482313999117
market_share_total,,,,%,nt,2000,0.055112233955433416
market_share_total,,,,%,nu,2000,0.7114571603412996
market_share_total,,,,%,on,2000,0.03999999999
market_share_total,,,,%,pe,2000,0.011758401322537065
market_share_total,,,,%,qc,2000,0.1
market_share_total,,,,%,sk,2000,0.11121718156
market_share_total,,,,%,yt,2000,0.5071769222794563
