parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,0.00836185366
market_share_total,,,,%,bc,2000,0.006773717918515881
market_share_total,,,,%,mb,2000,0.01535695254
market_share_total,,,,%,nb,2000,0.04710673600664642
market_share_total,,,,%,nl,2000,0.05133283178539805
market_share_total,,,,%,ns,2000,0.03809006368374328
market_share_total,,,,%,on,2000,0.010171214159999999
market_share_total,,,,%,pe,2000,0.006173607528218136
market_share_total,,,,%,qc,2000,0.03556549362
market_share_total,,,,%,sk,2000,0.08192674126
