parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,0.08613005018000001
market_share_total,,,,%,bc,2000,0.05706724264098168
market_share_total,,,,%,mb,2000,0.08178968444000001
market_share_total,,,,%,nb,2000,0.7238457049746786
market_share_total,,,,%,nl,2000,0.20544495629141019
market_share_total,,,,%,ns,2000,0.34823274562955914
market_share_total,,,,%,nt,2000,0.031375374881757796
market_share_total,,,,%,on,2000,0.03612324706
market_share_total,,,,%,pe,2000,0.31046614504633935
market_share_total,,,,%,qc,2000,0.07879591128
market_share_total,,,,%,sk,2000,0.01681619472
market_share_total,,,,%,yt,2000,0.35022524552365425
