parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,0.08323651383
market_share_total,,,,%,bc,2000,0.04872772312166338
market_share_total,,,,%,mb,2000,0.07961821878
market_share_total,,,,%,nb,2000,0.21307004038842384
market_share_total,,,,%,nl,2000,0.04223974705205535
market_share_total,,,,%,ns,2000,0.07989694198483174
market_share_total,,,,%,nt,2000,0.026612171386823914
market_share_total,,,,%,on,2000,0.01709886862
market_share_total,,,,%,pe,2000,0.08476077386664153
market_share_total,,,,%,qc,2000,0.03205847797
market_share_total,,,,%,sk,2000,0.014385311089999998
market_share_total,,,,%,yt,2000,0.323071531893762
