parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,0.005
market_share_total,,,,%,bc,2000,0
market_share_total,,,,%,mb,2000,0.003
market_share_total,,,,%,nb,2000,1
market_share_total,,,,%,nl,2000,1
market_share_total,,,,%,ns,2000,1
market_share_total,,,,%,nt,2000,0
market_share_total,,,,%,nu,2000,0.003
market_share_total,,,,%,on,2000,0.049
market_share_total,,,,%,pe,2000,1
market_share_total,,,,%,qc,2000,0.04
market_share_total,,,,%,sk,2000,0.052
market_share_total,,,,%,yt,2000,0
