parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,0.993
market_share_total,,,,%,bc,2000,0.548086867
market_share_total,,,,%,mb,2000,0.0
market_share_total,,,,%,nb,2000,0.0
market_share_total,,,,%,nl,2000,0.0
market_share_total,,,,%,ns,2000,0.0
market_share_total,,,,%,nt,2000,0.548086867
market_share_total,,,,%,nu,2000,0.0
market_share_total,,,,%,on,2000,0.202
market_share_total,,,,%,pe,2000,0.0
market_share_total,,,,%,qc,2000,0.0
market_share_total,,,,%,sk,2000,0.948
market_share_total,,,,%,yt,2000,0.548086867
output,,,,MWh,ab,2000,16232.0
output,,,,MWh,bc,2000,16231.76471
output,,,,MWh,mb,2000,16231.76471
output,,,,MWh,nb,2000,16231.76471
output,,,,MWh,nl,2000,16231.76471
output,,,,MWh,ns,2000,16231.76471
output,,,,MWh,nt,2000,16231.76471
output,,,,MWh,nu,2000,16231.76471
output,,,,MWh,on,2000,16231.76471
output,,,,MWh,pe,2000,16231.76471
output,,,,MWh,qc,2000,16231.76471
output,,,,MWh,sk,2000,16231.76471
output,,,,MWh,yt,2000,16231.76471
output,,,,MWh,ab,2005,16231.76471
output,,,,MWh,bc,2005,16231.76471
output,,,,MWh,mb,2005,16231.76471
output,,,,MWh,nb,2005,16231.76471
output,,,,MWh,nl,2005,16231.76471
output,,,,MWh,ns,2005,16231.76471
output,,,,MWh,nt,2005,16231.76471
output,,,,MWh,nu,2005,16231.76471
output,,,,MWh,on,2005,16231.76471
output,,,,MWh,pe,2005,16231.76471
output,,,,MWh,qc,2005,16231.76471
output,,,,MWh,sk,2005,16231.76471
output,,,,MWh,yt,2005,16231.76471
output,,,,MWh,ab,2010,16231.76471
output,,,,MWh,bc,2010,16231.76471
output,,,,MWh,mb,2010,16231.76471
output,,,,MWh,nb,2010,16231.76471
output,,,,MWh,nl,2010,16231.76471
output,,,,MWh,ns,2010,16231.76471
output,,,,MWh,nt,2010,16231.76471
output,,,,MWh,nu,2010,16231.76471
output,,,,MWh,on,2010,16231.76471
output,,,,MWh,pe,2010,16231.76471
output,,,,MWh,qc,2010,16231.76471
output,,,,MWh,sk,2010,16231.76471
output,,,,MWh,yt,2010,16231.76471
output,,,,MWh,ab,2015,16231.76471
output,,,,MWh,bc,2015,16231.76471
output,,,,MWh,mb,2015,16231.76471
output,,,,MWh,nb,2015,16231.76471
output,,,,MWh,nl,2015,16231.76471
output,,,,MWh,ns,2015,16231.76471
output,,,,MWh,nt,2015,16231.76471
output,,,,MWh,nu,2015,16231.76471
output,,,,MWh,on,2015,16231.76471
output,,,,MWh,pe,2015,16231.76471
output,,,,MWh,qc,2015,16231.76471
output,,,,MWh,sk,2015,16231.76471
output,,,,MWh,yt,2015,16231.76471
output,,,,MWh,ab,2020,16231.76471
output,,,,MWh,bc,2020,16231.76471
output,,,,MWh,mb,2020,16231.76471
output,,,,MWh,nb,2020,16231.76471
output,,,,MWh,nl,2020,16231.76471
output,,,,MWh,ns,2020,16231.76471
output,,,,MWh,nt,2020,16231.76471
output,,,,MWh,nu,2020,16231.76471
output,,,,MWh,on,2020,16231.76471
output,,,,MWh,pe,2020,16231.76471
output,,,,MWh,qc,2020,16231.76471
output,,,,MWh,sk,2020,16231.76471
output,,,,MWh,yt,2020,16231.76471
output,,,,MWh,ab,2025,16231.76471
output,,,,MWh,bc,2025,16231.76471
output,,,,MWh,mb,2025,16231.76471
output,,,,MWh,nb,2025,16231.76471
output,,,,MWh,nl,2025,16231.76471
output,,,,MWh,ns,2025,16231.76471
output,,,,MWh,nt,2025,16231.76471
output,,,,MWh,nu,2025,16231.76471
output,,,,MWh,on,2025,16231.76471
output,,,,MWh,pe,2025,16231.76471
output,,,,MWh,qc,2025,16231.76471
output,,,,MWh,sk,2025,16231.76471
output,,,,MWh,yt,2025,16231.76471
output,,,,MWh,ab,2030,16231.76471
output,,,,MWh,bc,2030,16231.76471
output,,,,MWh,mb,2030,16231.76471
output,,,,MWh,nb,2030,16231.76471
output,,,,MWh,nl,2030,16231.76471
output,,,,MWh,ns,2030,16231.76471
output,,,,MWh,nt,2030,16231.76471
output,,,,MWh,nu,2030,16231.76471
output,,,,MWh,on,2030,16231.76471
output,,,,MWh,pe,2030,16231.76471
output,,,,MWh,qc,2030,16231.76471
output,,,,MWh,sk,2030,16231.76471
output,,,,MWh,yt,2030,16231.76471
output,,,,MWh,ab,2035,16231.76471
output,,,,MWh,bc,2035,16231.76471
output,,,,MWh,mb,2035,16231.76471
output,,,,MWh,nb,2035,16231.76471
output,,,,MWh,nl,2035,16231.76471
output,,,,MWh,ns,2035,16231.76471
output,,,,MWh,nt,2035,16231.76471
output,,,,MWh,nu,2035,16231.76471
output,,,,MWh,on,2035,16231.76471
output,,,,MWh,pe,2035,16231.76471
output,,,,MWh,qc,2035,16231.76471
output,,,,MWh,sk,2035,16231.76471
output,,,,MWh,yt,2035,16231.76471
output,,,,MWh,ab,2040,16231.76471
output,,,,MWh,bc,2040,16231.76471
output,,,,MWh,mb,2040,16231.76471
output,,,,MWh,nb,2040,16231.76471
output,,,,MWh,nl,2040,16231.76471
output,,,,MWh,ns,2040,16231.76471
output,,,,MWh,nt,2040,16231.76471
output,,,,MWh,nu,2040,16231.76471
output,,,,MWh,on,2040,16231.76471
output,,,,MWh,pe,2040,16231.76471
output,,,,MWh,qc,2040,16231.76471
output,,,,MWh,sk,2040,16231.76471
output,,,,MWh,yt,2040,16231.76471
output,,,,MWh,ab,2045,16231.76471
output,,,,MWh,bc,2045,16231.76471
output,,,,MWh,mb,2045,16231.76471
output,,,,MWh,nb,2045,16231.76471
output,,,,MWh,nl,2045,16231.76471
output,,,,MWh,ns,2045,16231.76471
output,,,,MWh,nt,2045,16231.76471
output,,,,MWh,nu,2045,16231.76471
output,,,,MWh,on,2045,16231.76471
output,,,,MWh,pe,2045,16231.76471
output,,,,MWh,qc,2045,16231.76471
output,,,,MWh,sk,2045,16231.76471
output,,,,MWh,yt,2045,16231.76471
output,,,,MWh,ab,2050,16231.76471
output,,,,MWh,bc,2050,16231.76471
output,,,,MWh,mb,2050,16231.76471
output,,,,MWh,nb,2050,16231.76471
output,,,,MWh,nl,2050,16231.76471
output,,,,MWh,ns,2050,16231.76471
output,,,,MWh,nt,2050,16231.76471
output,,,,MWh,nu,2050,16231.76471
output,,,,MWh,on,2050,16231.76471
output,,,,MWh,pe,2050,16231.76471
output,,,,MWh,qc,2050,16231.76471
output,,,,MWh,sk,2050,16231.76471
output,,,,MWh,yt,2050,16231.76471
