parameter,context,sub_context,target,unit,region,year,value
fcc,,,,$,ab,2000,214281481.826608
fcc,,,,$,bc,2000,214281481.826608
fcc,,,,$,mb,2000,214281481.8
fcc,,,,$,nb,2000,214281481.826608
fcc,,,,$,nl,2000,214281481.826608
fcc,,,,$,ns,2000,214281481.826608
fcc,,,,$,nt,2000,214281481.826608
fcc,,,,$,nu,2000,214281481.826608
fcc,,,,$,on,2000,214281481.826608
fcc,,,,$,pe,2000,214281481.826608
fcc,,,,$,qc,2000,214281481.826608
fcc,,,,$,sk,2000,214281481.826608
fcc,,,,$,yt,2000,214281481.826608
fcc,,,,$,ab,2005,214281481.826608
fcc,,,,$,bc,2005,214281481.826608
fcc,,,,$,mb,2005,214281481.8
fcc,,,,$,nb,2005,214281481.826608
fcc,,,,$,nl,2005,214281481.826608
fcc,,,,$,ns,2005,214281481.826608
fcc,,,,$,nt,2005,214281481.826608
fcc,,,,$,nu,2005,214281481.826608
fcc,,,,$,on,2005,214281481.826608
fcc,,,,$,pe,2005,214281481.826608
fcc,,,,$,qc,2005,214281481.826608
fcc,,,,$,sk,2005,214281481.826608
fcc,,,,$,yt,2005,214281481.826608
fcc,,,,$,ab,2010,214281481.826608
fcc,,,,$,bc,2010,214281481.826608
fcc,,,,$,mb,2010,214281481.8
fcc,,,,$,nb,2010,214281481.826608
fcc,,,,$,nl,2010,214281481.826608
fcc,,,,$,ns,2010,214281481.826608
fcc,,,,$,nt,2010,214281481.826608
fcc,,,,$,nu,2010,214281481.826608
fcc,,,,$,on,2010,214281481.826608
fcc,,,,$,pe,2010,214281481.826608
fcc,,,,$,qc,2010,214281481.826608
fcc,,,,$,sk,2010,214281481.826608
fcc,,,,$,yt,2010,214281481.826608
fcc,,,,$,ab,2015,214281481.826608
fcc,,,,$,bc,2015,214281481.826608
fcc,,,,$,mb,2015,214281481.8
fcc,,,,$,nb,2015,214281481.826608
fcc,,,,$,nl,2015,214281481.826608
fcc,,,,$,ns,2015,214281481.826608
fcc,,,,$,nt,2015,214281481.826608
fcc,,,,$,nu,2015,214281481.826608
fcc,,,,$,on,2015,214281481.826608
fcc,,,,$,pe,2015,214281481.826608
fcc,,,,$,qc,2015,214281481.826608
fcc,,,,$,sk,2015,214281481.826608
fcc,,,,$,yt,2015,214281481.826608
fcc,,,,$,ab,2020,214281481.826608
fcc,,,,$,bc,2020,214281481.826608
fcc,,,,$,mb,2020,214281481.8
fcc,,,,$,nb,2020,214281481.826608
fcc,,,,$,nl,2020,214281481.826608
fcc,,,,$,ns,2020,214281481.826608
fcc,,,,$,nt,2020,214281481.826608
fcc,,,,$,nu,2020,214281481.826608
fcc,,,,$,on,2020,214281481.826608
fcc,,,,$,pe,2020,214281481.826608
fcc,,,,$,qc,2020,214281481.826608
fcc,,,,$,sk,2020,214281481.826608
fcc,,,,$,yt,2020,214281481.826608
fcc,,,,$,ab,2025,214281481.826608
fcc,,,,$,bc,2025,214281481.826608
fcc,,,,$,mb,2025,214281481.8
fcc,,,,$,nb,2025,214281481.826608
fcc,,,,$,nl,2025,214281481.826608
fcc,,,,$,ns,2025,214281481.826608
fcc,,,,$,nt,2025,214281481.826608
fcc,,,,$,nu,2025,214281481.826608
fcc,,,,$,on,2025,214281481.826608
fcc,,,,$,pe,2025,214281481.826608
fcc,,,,$,qc,2025,214281481.826608
fcc,,,,$,sk,2025,214281481.826608
fcc,,,,$,yt,2025,214281481.826608
fcc,,,,$,ab,2030,214281481.826608
fcc,,,,$,bc,2030,214281481.826608
fcc,,,,$,mb,2030,214281481.8
fcc,,,,$,nb,2030,214281481.826608
fcc,,,,$,nl,2030,214281481.826608
fcc,,,,$,ns,2030,214281481.826608
fcc,,,,$,nt,2030,214281481.826608
fcc,,,,$,nu,2030,214281481.826608
fcc,,,,$,on,2030,214281481.826608
fcc,,,,$,pe,2030,214281481.826608
fcc,,,,$,qc,2030,214281481.826608
fcc,,,,$,sk,2030,214281481.826608
fcc,,,,$,yt,2030,214281481.826608
fcc,,,,$,ab,2035,214281481.826608
fcc,,,,$,bc,2035,214281481.826608
fcc,,,,$,mb,2035,214281481.8
fcc,,,,$,nb,2035,214281481.826608
fcc,,,,$,nl,2035,214281481.826608
fcc,,,,$,ns,2035,214281481.826608
fcc,,,,$,nt,2035,214281481.826608
fcc,,,,$,nu,2035,214281481.826608
fcc,,,,$,on,2035,214281481.826608
fcc,,,,$,pe,2035,214281481.826608
fcc,,,,$,qc,2035,214281481.826608
fcc,,,,$,sk,2035,214281481.826608
fcc,,,,$,yt,2035,214281481.826608
fcc,,,,$,ab,2040,214281481.826608
fcc,,,,$,bc,2040,214281481.826608
fcc,,,,$,mb,2040,214281481.8
fcc,,,,$,nb,2040,214281481.826608
