parameter,context,sub_context,target,unit,region,year,value
service_request,,,.iron_and_steel.product.continuous_cast.slabs,tonne,ab,,0
service_request,,,.iron_and_steel.product.continuous_cast.slabs,tonne,bc,,0
service_request,,,.iron_and_steel.product.continuous_cast.slabs,tonne,mb,,0
service_request,,,.iron_and_steel.product.continuous_cast.slabs,tonne,on,,0.665490335
service_request,,,.iron_and_steel.product.continuous_cast.slabs,tonne,qc,,0.36
service_request,,,.iron_and_steel.product.continuous_cast.slabs,tonne,sk,,0
service_request,,,.iron_and_steel.product.continuous_cast.billets,tonne,ab,,0
service_request,,,.iron_and_steel.product.continuous_cast.billets,tonne,bc,,0
service_request,,,.iron_and_steel.product.continuous_cast.billets,tonne,mb,,0
service_request,,,.iron_and_steel.product.continuous_cast.billets,tonne,on,,0.246113762
service_request,,,.iron_and_steel.product.continuous_cast.billets,tonne,qc,,0.64
service_request,,,.iron_and_steel.product.continuous_cast.billets,tonne,sk,,0
service_request,,,.iron_and_steel.product.continuous_cast.blooms,tonne,ab,,1
service_request,,,.iron_and_steel.product.continuous_cast.blooms,tonne,bc,,1
service_request,,,.iron_and_steel.product.continuous_cast.blooms,tonne,mb,,1
service_request,,,.iron_and_steel.product.continuous_cast.blooms,tonne,on,,0.088395903
service_request,,,.iron_and_steel.product.continuous_cast.blooms,tonne,qc,,0
service_request,,,.iron_and_steel.product.continuous_cast.blooms,tonne,sk,,1
