parameter,context,sub_context,target,unit,region,year,value
fom,,,,$,ab,2000,37508054.4
fom,,,,$,bc,2000,37508054.4
fom,,,,$,mb,2000,37508054.4
fom,,,,$,on,2000,37508054.0
fom,,,,$,qc,2000,37508054.4
fom,,,,$,sk,2000,37508054.4
fom,,,,$,ab,2005,37508054.4
fom,,,,$,bc,2005,37508054.4
fom,,,,$,mb,2005,37508054.4
fom,,,,$,on,2005,37508054.4
fom,,,,$,qc,2005,37508054.4
fom,,,,$,sk,2005,37508054.4
fom,,,,$,ab,2010,37508054.4
fom,,,,$,bc,2010,37508054.4
fom,,,,$,mb,2010,37508054.4
fom,,,,$,on,2010,37508054.4
fom,,,,$,qc,2010,37508054.4
fom,,,,$,sk,2010,37508054.4
fom,,,,$,ab,2015,37508054.4
fom,,,,$,bc,2015,37508054.4
fom,,,,$,mb,2015,37508054.4
fom,,,,$,on,2015,37508054.4
fom,,,,$,qc,2015,37508054.4
fom,,,,$,sk,2015,37508054.4
fom,,,,$,ab,2020,37508054.4
fom,,,,$,bc,2020,37508054.4
fom,,,,$,mb,2020,37508054.4
fom,,,,$,on,2020,37508054.4
fom,,,,$,qc,2020,37508054.4
fom,,,,$,sk,2020,37508054.4
fom,,,,$,ab,2025,37508054.4
fom,,,,$,bc,2025,37508054.4
fom,,,,$,mb,2025,37508054.4
fom,,,,$,on,2025,37508054.4
fom,,,,$,qc,2025,37508054.4
fom,,,,$,sk,2025,37508054.4
fom,,,,$,ab,2030,37508054.4
fom,,,,$,bc,2030,37508054.4
fom,,,,$,mb,2030,37508054.4
fom,,,,$,on,2030,37508054.4
fom,,,,$,qc,2030,37508054.4
fom,,,,$,sk,2030,37508054.4
fom,,,,$,ab,2035,37508054.4
fom,,,,$,bc,2035,37508054.4
fom,,,,$,mb,2035,37508054.4
fom,,,,$,on,2035,37508054.4
fom,,,,$,qc,2035,37508054.4
fom,,,,$,sk,2035,37508054.4
fom,,,,$,ab,2040,37508054.4
fom,,,,$,bc,2040,37508054.4
fom,,,,$,mb,2040,37508054.4
fom,,,,$,on,2040,37508054.4
fom,,,,$,qc,2040,37508054.4
fom,,,,$,sk,2040,37508054.4
fom,,,,$,ab,2045,37508054.4
fom,,,,$,bc,2045,37508054.4
fom,,,,$,mb,2045,37508054.4
fom,,,,$,on,2045,37508054.4
fom,,,,$,qc,2045,37508054.4
fom,,,,$,sk,2045,37508054.4
fom,,,,$,ab,2050,37508054.4
fom,,,,$,bc,2050,37508054.4
fom,,,,$,mb,2050,37508054.4
fom,,,,$,on,2050,37508054.4
fom,,,,$,qc,2050,37508054.4
fom,,,,$,sk,2050,37508054.4
service_request,,,CIMS.Transmission.CCS TS ON,tCO2,on,2000,1.11
service_request,,,CIMS.Transmission.CCS TS ON,tCO2,on,2005,1.11010137
service_request,,,CIMS.Transmission.CCS TS ON,tCO2,on,2010,1.11010137
service_request,,,CIMS.Transmission.CCS TS ON,tCO2,on,2015,1.11010137
service_request,,,CIMS.Transmission.CCS TS ON,tCO2,on,2020,1.11010137
service_request,,,CIMS.Transmission.CCS TS ON,tCO2,on,2025,1.11010137
service_request,,,CIMS.Transmission.CCS TS ON,tCO2,on,2030,1.11010137
service_request,,,CIMS.Transmission.CCS TS ON,tCO2,on,2035,1.11010137
service_request,,,CIMS.Transmission.CCS TS ON,tCO2,on,2040,1.11010137
service_request,,,CIMS.Transmission.CCS TS ON,tCO2,on,2045,1.11010137
service_request,,,CIMS.Transmission.CCS TS ON,tCO2,on,2050,1.11010137
