parameter,context,sub_context,target,unit,region,year,value
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,ab,,0.0
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,bc,,0.0
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,mb,,0.0
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,nb,,0.0
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,on,,0.0
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,,0.339496746
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2000,0.557943521
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2001,0.5202593484
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2002,0.4825751758
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2003,0.4448910032
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2004,0.4072068306
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2005,0.369522658
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2006,0.3661100646
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2007,0.3626974712
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2008,0.3592848778
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2009,0.3558722844
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2010,0.352459691
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2011,0.3519333724
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2012,0.3514070538
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2013,0.3508807352
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2014,0.3503544166
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2015,0.349828098
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2016,0.3493057088
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2017,0.3487833196
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2018,0.3482609304
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2019,0.3477385412
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2020,0.347216152
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2021,0.3466976634
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2022,0.3461791748
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2023,0.3456606862
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2024,0.3451421976
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2025,0.344623709
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2026,0.3441090916
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2027,0.3435944742
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2028,0.3430798568
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2029,0.3425652394
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2030,0.342050622
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2031,0.3415398468
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2032,0.3410290716
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2033,0.3405182964
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.alumina,tonne,qc,2034,0.3400075212
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,ab,,1.0
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,bc,,1.01
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,mb,,1.0
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,nb,,1.0
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,on,,1.0
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,,0.91942915
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2000,0.93436298
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2001,0.938201611
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2002,0.942040242
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2003,0.945878873
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2004,0.949717504
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2005,0.953556135
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2006,0.9529918844
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2007,0.9524276338
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2008,0.9518633832
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2009,0.9512991326
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2010,0.950734882
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2011,0.949671556
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2012,0.9486082299999999
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2013,0.947544904
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2014,0.946481578
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2015,0.945418252
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2016,0.9442665932
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2017,0.9431149344
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2018,0.9419632756
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2019,0.9408116168
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2020,0.939659958
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2021,0.9384139304
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2022,0.9371679028
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2023,0.9359218752
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2024,0.9346758476
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2025,0.93342982
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2026,0.9320832138
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2027,0.9307366076
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2028,0.9293900014
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2029,0.9280433952
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2030,0.926696789
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2031,0.9252432612
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2032,0.9237897334
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2033,0.9223362056
service_request,,,.metal_smelting.product.aluminum.primary_aluminum.electrolysis,tonne,qc,2034,0.9208826778
