parameter,context,sub_context,target,unit,region,year,value
service_request,,,.metal_smelting.product.copper.metallurgy.hydro,tonne,ab,,0.0
service_request,,,.metal_smelting.product.copper.metallurgy.hydro,tonne,bc,,1.0
service_request,,,.metal_smelting.product.copper.metallurgy.hydro,tonne,mb,,0.0
service_request,,,.metal_smelting.product.copper.metallurgy.hydro,tonne,nb,,0.0
service_request,,,.metal_smelting.product.copper.metallurgy.hydro,tonne,nl,,0.0
service_request,,,.metal_smelting.product.copper.metallurgy.hydro,tonne,on,,0.0
service_request,,,.metal_smelting.product.copper.metallurgy.hydro,tonne,qc,,0.0
service_request,,,.metal_smelting.product.copper.metallurgy.pyro,tonne,ab,,1.0
service_request,,,.metal_smelting.product.copper.metallurgy.pyro,tonne,bc,,0.0
service_request,,,.metal_smelting.product.copper.metallurgy.pyro,tonne,mb,,1.0
service_request,,,.metal_smelting.product.copper.metallurgy.pyro,tonne,nb,,1.0
service_request,,,.metal_smelting.product.copper.metallurgy.pyro,tonne,nl,,1.0
service_request,,,.metal_smelting.product.copper.metallurgy.pyro,tonne,on,,1.0
service_request,,,.metal_smelting.product.copper.metallurgy.pyro,tonne,qc,,1.0
