parameter,context,sub_context,target,unit,region,year,value
service_request,,,.metal_smelting.product.lead.metallurgy.pyro.process.conventional.roast,tonne,ab,,0.2
service_request,,,.metal_smelting.product.lead.metallurgy.pyro.process.conventional.roast,tonne,bc,,0.0
service_request,,,.metal_smelting.product.lead.metallurgy.pyro.process.conventional.roast,tonne,mb,,0.2
service_request,,,.metal_smelting.product.lead.metallurgy.pyro.process.conventional.roast,tonne,nb,,0.2
service_request,,,.metal_smelting.product.lead.metallurgy.pyro.process.conventional.roast,tonne,nl,,0.2
service_request,,,.metal_smelting.product.lead.metallurgy.pyro.process.conventional.roast,tonne,on,,0.2
service_request,,,.metal_smelting.product.lead.metallurgy.pyro.process.conventional.roast,tonne,qc,,0.2
service_request,,,.metal_smelting.product.lead.metallurgy.pyro.process.conventional.smelt,tonne,ab,,0.8
service_request,,,.metal_smelting.product.lead.metallurgy.pyro.process.conventional.smelt,tonne,bc,,1.0
service_request,,,.metal_smelting.product.lead.metallurgy.pyro.process.conventional.smelt,tonne,mb,,0.8
service_request,,,.metal_smelting.product.lead.metallurgy.pyro.process.conventional.smelt,tonne,nb,,0.8
service_request,,,.metal_smelting.product.lead.metallurgy.pyro.process.conventional.smelt,tonne,nl,,0.8
service_request,,,.metal_smelting.product.lead.metallurgy.pyro.process.conventional.smelt,tonne,on,,0.8
service_request,,,.metal_smelting.product.lead.metallurgy.pyro.process.conventional.smelt,tonne,qc,,0.8
