parameter,context,sub_context,target,unit,region,year,value
service_request,,,.metal_smelting.product.zinc.melt_cast,tonne,ab,,1.0
service_request,,,.metal_smelting.product.zinc.melt_cast,tonne,bc,,1.0
service_request,,,.metal_smelting.product.zinc.melt_cast,tonne,mb,,1.0
service_request,,,.metal_smelting.product.zinc.melt_cast,tonne,nb,,0.0
service_request,,,.metal_smelting.product.zinc.melt_cast,tonne,nl,,0.0
service_request,,,.metal_smelting.product.zinc.melt_cast,tonne,on,,1.0
service_request,,,.metal_smelting.product.zinc.melt_cast,tonne,qc,,1.0
service_request,,,.metal_smelting.service.lighting,gj,ab,,0.025
service_request,,,.metal_smelting.service.lighting,gj,bc,,0.025
service_request,,,.metal_smelting.service.lighting,gj,mb,,0.025
service_request,,,.metal_smelting.service.lighting,gj,nb,,0.01
service_request,,,.metal_smelting.service.lighting,gj,nl,,0.01
service_request,,,.metal_smelting.service.lighting,gj,on,,0.025
service_request,,,.metal_smelting.service.lighting,gj,qc,,0.01
