parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,0.062
market_share_total,,,,%,bc,2000,0.062
market_share_total,,,,%,mb,2000,0.25
market_share_total,,,,%,nb,2000,0.125
market_share_total,,,,%,nl,2000,0.125
market_share_total,,,,%,ns,2000,0.062
market_share_total,,,,%,nt,2000,0.062
market_share_total,,,,%,nu,2000,0.062
market_share_total,,,,%,on,2000,0.125
market_share_total,,,,%,qc,2000,0.125
market_share_total,,,,%,sk,2000,0.125
market_share_total,,,,%,yt,2000,0.062
