parameter,context,sub_context,target,unit,region,year,value
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,ab,2000,0.000108108
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,bc,2000,0.000108108
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,mb,2000,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nb,2000,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nl,2000,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,ns,2000,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nt,2000,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nu,2000,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,on,2000,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,pe,2000,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,qc,2000,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,sk,2000,0.000108108
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,yt,2000,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,ab,2005,0.000108108
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,bc,2005,0.000108108
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,mb,2005,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nb,2005,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nl,2005,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,ns,2005,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nt,2005,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nu,2005,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,on,2005,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,pe,2005,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,qc,2005,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,sk,2005,0.000108108
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,yt,2005,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,ab,2010,0.000108108
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,bc,2010,0.000108108
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,mb,2010,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nb,2010,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nl,2010,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,ns,2010,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nt,2010,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nu,2010,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,on,2010,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,pe,2010,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,qc,2010,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,sk,2010,0.000108108
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,yt,2010,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,ab,2015,0.000108108
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,bc,2015,0.000108108
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,mb,2015,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nb,2015,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nl,2015,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,ns,2015,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nt,2015,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nu,2015,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,on,2015,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,pe,2015,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,qc,2015,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,sk,2015,0.000108108
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,yt,2015,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,ab,2020,0.000108108
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,bc,2020,0.000108108
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,mb,2020,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nb,2020,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nl,2020,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,ns,2020,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nt,2020,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nu,2020,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,on,2020,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,pe,2020,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,qc,2020,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,sk,2020,0.000108108
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,yt,2020,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,ab,2025,0.000108108
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,bc,2025,0.000108108
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,mb,2025,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nb,2025,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nl,2025,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,ns,2025,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nt,2025,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nu,2025,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,on,2025,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,pe,2025,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,qc,2025,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,sk,2025,0.000108108
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,yt,2025,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,ab,2030,0.000108108
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,bc,2030,0.000108108
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,mb,2030,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nb,2030,0.0
service_request,,,.natural_gas.product.supply.extraction.drilling,Wells,nl,2030,0.0
