parameter,context,sub_context,target,unit,region,year,value
service_request,,,.steam,GJ,ab,2000,1.125
service_request,,,.steam,GJ,bc,2000,1.125
service_request,,,.steam,GJ,nl,2000,1.125
service_request,,,.steam,GJ,sk,2000,1.125
service_request,,,.steam,GJ,ab,2005,1.35
service_request,,,.steam,GJ,bc,2005,1.35
service_request,,,.steam,GJ,nl,2005,1.35
service_request,,,.steam,GJ,sk,2005,1.35
service_request,,,.steam,GJ,ab,2010,2.025
service_request,,,.steam,GJ,bc,2010,2.025
service_request,,,.steam,GJ,nl,2010,2.025
service_request,,,.steam,GJ,sk,2010,2.025
service_request,,,.steam,GJ,ab,2015,2.85
service_request,,,.steam,GJ,bc,2015,2.85
service_request,,,.steam,GJ,nl,2015,2.85
service_request,,,.steam,GJ,sk,2015,2.85
service_request,,,.steam,GJ,ab,2020,3.375
service_request,,,.steam,GJ,bc,2020,3.375
service_request,,,.steam,GJ,nl,2020,3.375
service_request,,,.steam,GJ,sk,2020,3.375
service_request,,,.steam,GJ,ab,2025,3.375
service_request,,,.steam,GJ,bc,2025,3.375
service_request,,,.steam,GJ,nl,2025,3.375
service_request,,,.steam,GJ,sk,2025,3.375
service_request,,,.steam,GJ,ab,2030,3.375
service_request,,,.steam,GJ,bc,2030,3.375
service_request,,,.steam,GJ,nl,2030,3.375
service_request,,,.steam,GJ,sk,2030,3.375
service_request,,,.steam,GJ,ab,2035,3.375
service_request,,,.steam,GJ,bc,2035,3.375
service_request,,,.steam,GJ,nl,2035,3.375
service_request,,,.steam,GJ,sk,2035,3.375
service_request,,,.steam,GJ,ab,2040,3.375
service_request,,,.steam,GJ,bc,2040,3.375
service_request,,,.steam,GJ,nl,2040,3.375
service_request,,,.steam,GJ,sk,2040,3.375
service_request,,,.steam,GJ,ab,2045,3.375
service_request,,,.steam,GJ,bc,2045,3.375
service_request,,,.steam,GJ,nl,2045,3.375
service_request,,,.steam,GJ,sk,2045,3.375
service_request,,,.steam,GJ,ab,2050,3.375
service_request,,,.steam,GJ,bc,2050,3.375
service_request,,,.steam,GJ,nl,2050,3.375
service_request,,,.steam,GJ,sk,2050,3.375
emissions,CO2,Process,,tCO2,ab,2000,0.005
emissions,CO2,Process,,tCO2,bc,2000,0.005
emissions,CO2,Process,,tCO2,nl,2000,0.005
emissions,CO2,Process,,tCO2,sk,2000,0.017
emissions,CO2,Process,,tCO2,ab,2005,0.005
emissions,CO2,Process,,tCO2,bc,2005,0.005
emissions,CO2,Process,,tCO2,nl,2005,0.005
emissions,CO2,Process,,tCO2,sk,2005,0.017
emissions,CO2,Process,,tCO2,ab,2010,0.005
emissions,CO2,Process,,tCO2,bc,2010,0.005
emissions,CO2,Process,,tCO2,nl,2010,0.005
emissions,CO2,Process,,tCO2,sk,2010,0.017
emissions,CO2,Process,,tCO2,ab,2015,0.005
emissions,CO2,Process,,tCO2,bc,2015,0.005
emissions,CO2,Process,,tCO2,nl,2015,0.005
emissions,CO2,Process,,tCO2,sk,2015,0.017
emissions,CO2,Process,,tCO2,ab,2020,0.005
emissions,CO2,Process,,tCO2,bc,2020,0.005
emissions,CO2,Process,,tCO2,nl,2020,0.005
emissions,CO2,Process,,tCO2,sk,2020,0.017
emissions,CO2,Process,,tCO2,ab,2025,0.005
emissions,CO2,Process,,tCO2,bc,2025,0.005
emissions,CO2,Process,,tCO2,nl,2025,0.005
emissions,CO2,Process,,tCO2,sk,2025,0.017
emissions,CO2,Process,,tCO2,ab,2030,0.005
emissions,CO2,Process,,tCO2,bc,2030,0.005
emissions,CO2,Process,,tCO2,nl,2030,0.005
emissions,CO2,Process,,tCO2,sk,2030,0.017
emissions,CO2,Process,,tCO2,ab,2035,0.005
emissions,CO2,Process,,tCO2,bc,2035,0.005
emissions,CO2,Process,,tCO2,nl,2035,0.005
emissions,CO2,Process,,tCO2,sk,2035,0.017
emissions,CO2,Process,,tCO2,ab,2040,0.005
emissions,CO2,Process,,tCO2,bc,2040,0.005
emissions,CO2,Process,,tCO2,nl,2040,0.005
emissions,CO2,Process,,tCO2,sk,2040,0.017
