parameter,context,sub_context,target,unit,region,year,value
fcc,,,,$,ab,2000,214281482.0
fcc,,,,$,bc,2000,214281481.8
fcc,,,,$,nb,2000,214281481.8
fcc,,,,$,nl,2000,214281481.8
fcc,,,,$,on,2000,214281481.8
fcc,,,,$,qc,2000,214281481.8
fcc,,,,$,sk,2000,214281481.8
fcc,,,,$,ab,2005,214281481.8
fcc,,,,$,bc,2005,214281481.8
fcc,,,,$,nb,2005,214281481.8
fcc,,,,$,nl,2005,214281481.8
fcc,,,,$,on,2005,214281481.8
fcc,,,,$,qc,2005,214281481.8
fcc,,,,$,sk,2005,214281481.8
fcc,,,,$,ab,2010,214281481.8
fcc,,,,$,bc,2010,214281481.8
fcc,,,,$,nb,2010,214281481.8
fcc,,,,$,nl,2010,214281481.8
fcc,,,,$,on,2010,214281481.8
fcc,,,,$,qc,2010,214281481.8
fcc,,,,$,sk,2010,214281481.8
fcc,,,,$,ab,2015,214281481.8
fcc,,,,$,bc,2015,214281481.8
fcc,,,,$,nb,2015,214281481.8
fcc,,,,$,nl,2015,214281481.8
fcc,,,,$,on,2015,214281481.8
fcc,,,,$,qc,2015,214281481.8
fcc,,,,$,sk,2015,214281481.8
fcc,,,,$,ab,2020,214281481.8
fcc,,,,$,bc,2020,214281481.8
fcc,,,,$,nb,2020,214281481.8
fcc,,,,$,nl,2020,214281481.8
fcc,,,,$,on,2020,214281481.8
fcc,,,,$,qc,2020,214281481.8
fcc,,,,$,sk,2020,214281481.8
fcc,,,,$,ab,2025,214281481.8
fcc,,,,$,bc,2025,214281481.8
fcc,,,,$,nb,2025,214281481.8
fcc,,,,$,nl,2025,214281481.8
fcc,,,,$,on,2025,214281481.8
fcc,,,,$,qc,2025,214281481.8
fcc,,,,$,sk,2025,214281481.8
fcc,,,,$,ab,2030,214281481.8
fcc,,,,$,bc,2030,214281481.8
fcc,,,,$,nb,2030,214281481.8
fcc,,,,$,nl,2030,214281481.8
fcc,,,,$,on,2030,214281481.8
fcc,,,,$,qc,2030,214281481.8
fcc,,,,$,sk,2030,214281481.8
fcc,,,,$,ab,2035,214281481.8
fcc,,,,$,bc,2035,214281481.8
