parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,0.6
market_share_total,,,,%,bc,2000,1.0
market_share_total,,,,%,nb,2000,1.0
market_share_total,,,,%,nl,2000,1.0
market_share_total,,,,%,on,2000,0.7
market_share_total,,,,%,qc,2000,1.0
market_share_total,,,,%,sk,2000,1.0
service_request,,,.petroleum_refining.pumping,GJ,ab,2000,0.0
service_request,,,.petroleum_refining.pumping,GJ,bc,2000,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,nb,2000,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,nl,2000,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,on,2000,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,qc,2000,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,sk,2000,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,ab,2005,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,bc,2005,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,nb,2005,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,nl,2005,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,on,2005,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,qc,2005,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,sk,2005,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,ab,2010,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,bc,2010,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,nb,2010,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,nl,2010,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,on,2010,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,qc,2010,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,sk,2010,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,ab,2015,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,bc,2015,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,nb,2015,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,nl,2015,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,on,2015,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,qc,2015,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,sk,2015,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,ab,2020,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,bc,2020,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,nb,2020,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,nl,2020,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,on,2020,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,qc,2020,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,sk,2020,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,ab,2025,2.49e-05
service_request,,,.petroleum_refining.pumping,GJ,bc,2025,2.49e-05
