parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,0.17249569
market_share_total,,,,%,bc,2000,0.09353386999999999
market_share_total,,,,%,mb,2000,0.29606816999999996
market_share_total,,,,%,nb,2000,0.31134606
market_share_total,,,,%,nl,2000,0.17006181
market_share_total,,,,%,ns,2000,0.29213973
market_share_total,,,,%,nt,2000,0.14042819
market_share_total,,,,%,nu,2000,0.14042819
market_share_total,,,,%,on,2000,0.33871861
market_share_total,,,,%,pe,2000,0.25507511
market_share_total,,,,%,qc,2000,0.38603098
market_share_total,,,,%,sk,2000,0.23177555
market_share_total,,,,%,yt,2000,0.14042819
