parameter,context,sub_context,target,unit,region,year,value
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,ab,2000,0.453728236
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,bc,2000,0.137006216
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,mb,2000,0.302146029
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nb,2000,0.338140703
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nl,2000,0.338140703
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,ns,2000,0.338140703
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nt,2000,0.137006216
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nu,2000,0.137006216
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,on,2000,0.304186854
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,pe,2000,0.338140703
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,qc,2000,0.314101939
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,sk,2000,0.410805031
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,yt,2000,0.137006216
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,ab,2005,0.399232826
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,bc,2005,0.135567255
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,mb,2005,0.274016565
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nb,2005,0.341018946
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nl,2005,0.341018946
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,ns,2005,0.341018946
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nt,2005,0.135567255
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nu,2005,0.135567255
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,on,2005,0.314890423
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,pe,2005,0.341018946
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,qc,2005,0.313657417
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,sk,2005,0.352502029
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,yt,2005,0.135567255
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,ab,2010,0.435108124
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,bc,2010,0.127582764
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,mb,2010,0.28056789
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nb,2010,0.39808543
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nl,2010,0.39808543
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,ns,2010,0.39808543
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nt,2010,0.127582764
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nu,2010,0.127582764
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,on,2010,0.301908014
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,pe,2010,0.39808543
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,qc,2010,0.287826798
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,sk,2010,0.426819518
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,yt,2010,0.127582764
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,ab,2015,0.416803124
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,bc,2015,0.137077457
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,mb,2015,0.298810415
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nb,2015,0.411141493
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nl,2015,0.411141493
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,ns,2015,0.411141493
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nt,2015,0.137077457
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nu,2015,0.137077457
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,on,2015,0.329332046
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,pe,2015,0.411141493
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,qc,2015,0.322858
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,sk,2015,0.417285253
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,yt,2015,0.137077457
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,ab,2020,0.451590238
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,bc,2020,0.155704348
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,mb,2020,0.332311639
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nb,2020,0.353459139
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nl,2020,0.353459139
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,ns,2020,0.353459139
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nt,2020,0.155704348
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nu,2020,0.155704348
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,on,2020,0.268921318
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,pe,2020,0.353459139
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,qc,2020,0.320044608
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,sk,2020,0.477764458
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,yt,2020,0.155704348
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,ab,2025,0.451590238
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,bc,2025,0.155704348
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,mb,2025,0.332311639
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nb,2025,0.353459139
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nl,2025,0.353459139
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,ns,2025,0.353459139
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nt,2025,0.155704348
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nu,2025,0.155704348
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,on,2025,0.268921318
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,pe,2025,0.353459139
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,qc,2025,0.320044608
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,sk,2025,0.477764458
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,yt,2025,0.155704348
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,ab,2030,0.451590238
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,bc,2030,0.155704348
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,mb,2030,0.332311639
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nb,2030,0.353459139
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,nl,2030,0.353459139
service_request,,,.residential.product.building_type.high_density.vintage.1960_bldg_code.heating_cold,GJ,ns,2030,0.353459139
