parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,0.5288946900000001
market_share_total,,,,%,bc,2000,0.25698672
market_share_total,,,,%,mb,2000,0.30249015
market_share_total,,,,%,nb,2000,0.0071081799999999995
market_share_total,,,,%,nl,2000,0.0
market_share_total,,,,%,ns,2000,0.0
market_share_total,,,,%,nt,2000,8.706693525360737e-05
market_share_total,,,,%,nu,2000,0.00036764405464809164
market_share_total,,,,%,on,2000,0.33069254000000003
market_share_total,,,,%,pe,2000,0.0
market_share_total,,,,%,qc,2000,0.04678476000000001
market_share_total,,,,%,sk,2000,0.50181031
market_share_total,,,,%,yt,2000,0.0006799587221532968
