parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,0.38063654999999996
market_share_total,,,,%,bc,2000,0.19971399
market_share_total,,,,%,mb,2000,0.15764287
market_share_total,,,,%,nb,2000,0.00076687
market_share_total,,,,%,nl,2000,0.0
market_share_total,,,,%,ns,2000,0.0
market_share_total,,,,%,nt,2000,4.872407460151078e-05
market_share_total,,,,%,nu,2000,0.00020573959900274937
market_share_total,,,,%,on,2000,0.19582089
market_share_total,,,,%,pe,2000,0.0
market_share_total,,,,%,qc,2000,0.0051533099999999995
market_share_total,,,,%,sk,2000,0.20514066
market_share_total,,,,%,yt,2000,0.00038051597208106066
