parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,0.00330328
market_share_total,,,,%,bc,2000,0.03439922
market_share_total,,,,%,mb,2000,0.03641205
market_share_total,,,,%,nb,2000,0.18936192
market_share_total,,,,%,nl,2000,0.17371698
market_share_total,,,,%,ns,2000,0.13278795000000002
market_share_total,,,,%,nt,2000,0.005795224671306301
market_share_total,,,,%,nu,2000,0.0031214100407578388
market_share_total,,,,%,on,2000,0.023501070000000002
market_share_total,,,,%,pe,2000,0.13315186
market_share_total,,,,%,qc,2000,0.08198199
market_share_total,,,,%,sk,2000,0.01993222
market_share_total,,,,%,yt,2000,0.005773056726462657
