parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,0.23645794999999997
market_share_total,,,,%,bc,2000,0.56153295
market_share_total,,,,%,mb,2000,0.35297804
market_share_total,,,,%,nb,2000,0.43472199
market_share_total,,,,%,nl,2000,0.47317336
market_share_total,,,,%,ns,2000,0.4492327199999999
market_share_total,,,,%,nt,2000,0.55046503
market_share_total,,,,%,nu,2000,0.55046503
market_share_total,,,,%,on,2000,0.30683069
market_share_total,,,,%,pe,2000,0.51761334
market_share_total,,,,%,qc,2000,0.29798535
market_share_total,,,,%,sk,2000,0.3806986
market_share_total,,,,%,yt,2000,0.55046503
