parameter,context,sub_context,target,unit,region,year,value
unavailable,,,,Year,ab,2000,2001.0
unavailable,,,,Year,bc,2000,2021.0
unavailable,,,,Year,mb,2000,2021.0
unavailable,,,,Year,nb,2000,2021.0
unavailable,,,,Year,nl,2000,2021.0
unavailable,,,,Year,ns,2000,2021.0
unavailable,,,,Year,nt,2000,2021.0
unavailable,,,,Year,nu,2000,2021.0
unavailable,,,,Year,on,2000,2021.0
unavailable,,,,Year,pe,2000,2021.0
unavailable,,,,Year,qc,2000,2021.0
unavailable,,,,Year,sk,2000,2021.0
unavailable,,,,Year,yt,2000,2021.0
unavailable,,,,Year,ab,2005,2001.0
unavailable,,,,Year,bc,2005,2021.0
unavailable,,,,Year,mb,2005,2021.0
unavailable,,,,Year,nb,2005,2021.0
unavailable,,,,Year,nl,2005,2021.0
unavailable,,,,Year,ns,2005,2021.0
unavailable,,,,Year,nt,2005,2021.0
unavailable,,,,Year,nu,2005,2021.0
unavailable,,,,Year,on,2005,2021.0
unavailable,,,,Year,pe,2005,2021.0
unavailable,,,,Year,qc,2005,2021.0
unavailable,,,,Year,sk,2005,2021.0
unavailable,,,,Year,yt,2005,2021.0
unavailable,,,,Year,ab,2010,2001.0
unavailable,,,,Year,bc,2010,2021.0
unavailable,,,,Year,mb,2010,2021.0
unavailable,,,,Year,nb,2010,2021.0
unavailable,,,,Year,nl,2010,2021.0
unavailable,,,,Year,ns,2010,2021.0
unavailable,,,,Year,nt,2010,2021.0
unavailable,,,,Year,nu,2010,2021.0
unavailable,,,,Year,on,2010,2021.0
unavailable,,,,Year,pe,2010,2021.0
unavailable,,,,Year,qc,2010,2021.0
unavailable,,,,Year,sk,2010,2021.0
unavailable,,,,Year,yt,2010,2021.0
unavailable,,,,Year,ab,2015,2001.0
unavailable,,,,Year,bc,2015,2021.0
unavailable,,,,Year,mb,2015,2021.0
unavailable,,,,Year,nb,2015,2021.0
unavailable,,,,Year,nl,2015,2021.0
unavailable,,,,Year,ns,2015,2021.0
unavailable,,,,Year,nt,2015,2021.0
unavailable,,,,Year,nu,2015,2021.0
unavailable,,,,Year,on,2015,2021.0
unavailable,,,,Year,pe,2015,2021.0
unavailable,,,,Year,qc,2015,2021.0
unavailable,,,,Year,sk,2015,2021.0
unavailable,,,,Year,yt,2015,2021.0
unavailable,,,,Year,ab,2020,2001.0
unavailable,,,,Year,bc,2020,2021.0
unavailable,,,,Year,mb,2020,2021.0
unavailable,,,,Year,nb,2020,2021.0
unavailable,,,,Year,nl,2020,2021.0
unavailable,,,,Year,ns,2020,2021.0
unavailable,,,,Year,nt,2020,2021.0
unavailable,,,,Year,nu,2020,2021.0
unavailable,,,,Year,on,2020,2021.0
unavailable,,,,Year,pe,2020,2021.0
unavailable,,,,Year,qc,2020,2021.0
unavailable,,,,Year,sk,2020,2021.0
unavailable,,,,Year,yt,2020,2021.0
unavailable,,,,Year,ab,2025,2001.0
unavailable,,,,Year,bc,2025,2021.0
unavailable,,,,Year,mb,2025,2021.0
unavailable,,,,Year,nb,2025,2021.0
unavailable,,,,Year,nl,2025,2021.0
unavailable,,,,Year,ns,2025,2021.0
unavailable,,,,Year,nt,2025,2021.0
unavailable,,,,Year,nu,2025,2021.0
unavailable,,,,Year,on,2025,2021.0
unavailable,,,,Year,pe,2025,2021.0
unavailable,,,,Year,qc,2025,2021.0
unavailable,,,,Year,sk,2025,2021.0
unavailable,,,,Year,yt,2025,2021.0
unavailable,,,,Year,ab,2030,2001.0
unavailable,,,,Year,bc,2030,2021.0
unavailable,,,,Year,mb,2030,2021.0
unavailable,,,,Year,nb,2030,2021.0
unavailable,,,,Year,nl,2030,2021.0
unavailable,,,,Year,ns,2030,2021.0
unavailable,,,,Year,nt,2030,2021.0
unavailable,,,,Year,nu,2030,2021.0
unavailable,,,,Year,on,2030,2021.0
unavailable,,,,Year,pe,2030,2021.0
unavailable,,,,Year,qc,2030,2021.0
unavailable,,,,Year,sk,2030,2021.0
unavailable,,,,Year,yt,2030,2021.0
unavailable,,,,Year,ab,2035,2001.0
unavailable,,,,Year,bc,2035,2021.0
unavailable,,,,Year,mb,2035,2021.0
unavailable,,,,Year,nb,2035,2021.0
unavailable,,,,Year,nl,2035,2021.0
unavailable,,,,Year,ns,2035,2021.0
unavailable,,,,Year,nt,2035,2021.0
unavailable,,,,Year,nu,2035,2021.0
unavailable,,,,Year,on,2035,2021.0
unavailable,,,,Year,pe,2035,2021.0
unavailable,,,,Year,qc,2035,2021.0
unavailable,,,,Year,sk,2035,2021.0
unavailable,,,,Year,yt,2035,2021.0
unavailable,,,,Year,ab,2040,2001.0
unavailable,,,,Year,bc,2040,2021.0
unavailable,,,,Year,mb,2040,2021.0
unavailable,,,,Year,nb,2040,2021.0
unavailable,,,,Year,nl,2040,2021.0
unavailable,,,,Year,ns,2040,2021.0
unavailable,,,,Year,nt,2040,2021.0
unavailable,,,,Year,nu,2040,2021.0
