parameter,context,sub_context,target,unit,region,year,value
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ab,2000,0.6287063
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,bc,2000,0.062148547
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,mb,2000,0.260384263
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nb,2000,0.225495248
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nl,2000,0.225495248
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ns,2000,0.225495248
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nt,2000,0.062148547
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nu,2000,0.062148547
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,on,2000,0.330345884
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,pe,2000,0.225495248
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,qc,2000,0.353649914
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,sk,2000,0.211939297
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,yt,2000,0.062148547
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ab,2005,0.562893869
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,bc,2005,0.062535969
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,mb,2005,0.252229789
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nb,2005,0.227140774
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nl,2005,0.227140774
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ns,2005,0.227140774
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nt,2005,0.062535969
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nu,2005,0.062535969
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,on,2005,0.34472706
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,pe,2005,0.227140774
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,qc,2005,0.359273292
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,sk,2005,0.190681424
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,yt,2005,0.062535969
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ab,2010,0.616640058
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,bc,2010,0.059751393
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,mb,2010,0.275320864
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nb,2010,0.262343952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nl,2010,0.262343952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ns,2010,0.262343952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nt,2010,0.059751393
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nu,2010,0.059751393
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,on,2010,0.334955008
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,pe,2010,0.262343952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,qc,2010,0.33352287
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,sk,2010,0.236956171
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,yt,2010,0.059751393
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ab,2015,0.681152813
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,bc,2015,0.064930933
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,mb,2015,0.30088949
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nb,2015,0.272829258
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nl,2015,0.272829258
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ns,2015,0.272829258
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nt,2015,0.064930933
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nu,2015,0.064930933
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,on,2015,0.376307694
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,pe,2015,0.272829258
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,qc,2015,0.348739051
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,sk,2015,0.23587544
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,yt,2015,0.064930933
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ab,2020,0.746458082
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,bc,2020,0.073932952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,mb,2020,0.339518285
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nb,2020,0.241394308
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nl,2020,0.241394308
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ns,2020,0.241394308
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nt,2020,0.073932952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nu,2020,0.073932952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,on,2020,0.308177393
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,pe,2020,0.241394308
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,qc,2020,0.345371096
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,sk,2020,0.272263928
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,yt,2020,0.073932952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ab,2025,0.746458082
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,bc,2025,0.073932952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,mb,2025,0.339518285
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nb,2025,0.241394308
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nl,2025,0.241394308
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ns,2025,0.241394308
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nt,2025,0.073932952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nu,2025,0.073932952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,on,2025,0.308177393
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,pe,2025,0.241394308
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,qc,2025,0.345371096
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,sk,2025,0.272263928
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,yt,2025,0.073932952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ab,2030,0.746458082
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,bc,2030,0.073932952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,mb,2030,0.339518285
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nb,2030,0.241394308
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nl,2030,0.241394308
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ns,2030,0.241394308
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nt,2030,0.073932952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nu,2030,0.073932952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,on,2030,0.308177393
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,pe,2030,0.241394308
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,qc,2030,0.345371096
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,sk,2030,0.272263928
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,yt,2030,0.073932952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ab,2035,0.746458082
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,bc,2035,0.073932952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,mb,2035,0.339518285
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nb,2035,0.241394308
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nl,2035,0.241394308
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ns,2035,0.241394308
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nt,2035,0.073932952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nu,2035,0.073932952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,on,2035,0.308177393
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,pe,2035,0.241394308
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,qc,2035,0.345371096
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,sk,2035,0.272263928
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,yt,2035,0.073932952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ab,2040,0.746458082
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,bc,2040,0.073932952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,mb,2040,0.339518285
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nb,2040,0.241394308
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nl,2040,0.241394308
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ns,2040,0.241394308
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nt,2040,0.073932952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nu,2040,0.073932952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,on,2040,0.308177393
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,pe,2040,0.241394308
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,qc,2040,0.345371096
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,sk,2040,0.272263928
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,yt,2040,0.073932952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ab,2045,0.746458082
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,bc,2045,0.073932952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,mb,2045,0.339518285
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nb,2045,0.241394308
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nl,2045,0.241394308
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ns,2045,0.241394308
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nt,2045,0.073932952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nu,2045,0.073932952
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,on,2045,0.308177393
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,pe,2045,0.241394308
service_request,,,.residential.product.building_type.high_density.vintage.1981_2000_bldg_code.heating_cold,GJ,qc,2045,0.345371096
