parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,0.017169900000000002
market_share_total,,,,%,bc,2000,0.30736251
market_share_total,,,,%,mb,2000,0.33563254
market_share_total,,,,%,nb,2000,0.55341885
market_share_total,,,,%,nl,2000,0.49476114000000004
market_share_total,,,,%,ns,2000,0.24987801
market_share_total,,,,%,nt,2000,0.0006957425204531282
market_share_total,,,,%,nu,2000,0.001567373345837761
market_share_total,,,,%,on,2000,0.17814827
market_share_total,,,,%,pe,2000,0.046619520000000005
market_share_total,,,,%,qc,2000,0.68189774
market_share_total,,,,%,sk,2000,0.03345257
market_share_total,,,,%,yt,2000,0.0018513812896327508
