parameter,context,sub_context,target,unit,region,year,value
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,ab,2000,0.102088378
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,bc,2000,0.036403857
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,mb,2000,0.099990435
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,nb,2000,0.088853039
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,nl,2000,0.088853039
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,ns,2000,0.088853039
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,nt,2000,0.036403857
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,nu,2000,0.036403857
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,on,2000,0.193432051
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,pe,2000,0.088853039
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,qc,2000,0.132841296
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,sk,2000,0.093971935
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,yt,2000,0.036403857
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,ab,2005,0.117234179
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,bc,2005,0.027607804
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,mb,2005,0.107021288
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,nb,2005,0.089914475
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,nl,2005,0.089914475
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,ns,2005,0.089914475
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,nt,2005,0.027607804
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,nu,2005,0.027607804
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,on,2005,0.150901686
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,pe,2005,0.089914475
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,qc,2005,0.136656048
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,sk,2005,0.087359963
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,yt,2005,0.027607804
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,ab,2010,0.115126654
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,bc,2010,0.021446958
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,mb,2010,0.096367961
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,nb,2010,0.093236821
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,nl,2010,0.093236821
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,ns,2010,0.093236821
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,nt,2010,0.021446958
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,nu,2010,0.021446958
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,on,2010,0.11424446
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,pe,2010,0.093236821
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,qc,2010,0.104428199
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,sk,2010,0.103802146
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,yt,2010,0.021446958
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,ab,2015,0.109059635
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,bc,2015,0.021447605
service_request,,,.residential.product.building_type.high_density.vintage.2001_2020_bldg_code.heating_cold,GJ,mb,2015,0.088258063
