parameter,context,sub_context,target,unit,region,year,value
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,ab,2000,0.107192797
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,bc,2000,0.038224049
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,mb,2000,0.104989957
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nb,2000,0.093295691
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nl,2000,0.093295691
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,ns,2000,0.093295691
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nt,2000,0.038224049
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nu,2000,0.038224049
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,on,2000,0.203103653
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,pe,2000,0.093295691
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,qc,2000,0.13948336
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,sk,2000,0.098670532
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,yt,2000,0.038224049
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,ab,2005,0.123095888
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,bc,2005,0.028988195
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,mb,2005,0.112372353
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nb,2005,0.094410198
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nl,2005,0.094410198
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,ns,2005,0.094410198
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nt,2005,0.028988195
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nu,2005,0.028988195
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,on,2005,0.158446771
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,pe,2005,0.094410198
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,qc,2005,0.14348885
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,sk,2005,0.091727961
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,yt,2005,0.028988195
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,ab,2010,0.120882986
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,bc,2010,0.022519305
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,mb,2010,0.101186359
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nb,2010,0.097898662
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nl,2010,0.097898662
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,ns,2010,0.097898662
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nt,2010,0.022519305
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nu,2010,0.022519305
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,on,2010,0.119956683
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,pe,2010,0.097898662
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,qc,2010,0.109649609
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,sk,2010,0.108992254
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,yt,2010,0.022519305
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,ab,2015,0.114512617
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,bc,2015,0.022519986
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,mb,2015,0.092670966
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nb,2015,0.086913311
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nl,2015,0.086913311
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,ns,2015,0.086913311
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nt,2015,0.022519986
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nu,2015,0.022519986
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,on,2015,0.10872428
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,pe,2015,0.086913311
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,qc,2015,0.093700094
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,sk,2015,0.08174082
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,yt,2015,0.022519986
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,ab,2020,0.10688146
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,bc,2020,0.02196661
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,mb,2020,0.088696565
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nb,2020,0.068883927
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nl,2020,0.068883927
service_request,,,.residential.product.building_type.high_density.vintage.2021_2035_bldg_code.heating_cold,GJ,ns,2020,0.068883927
