parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,0.13273570611967556
market_share_total,,,,%,bc,2000,0.12748727994589995
market_share_total,,,,%,mb,2000,0.2342184028576958
market_share_total,,,,%,nb,2000,0.2682344444563856
market_share_total,,,,%,nl,2000,0.20599635585417148
market_share_total,,,,%,ns,2000,0.3116036091169996
market_share_total,,,,%,nt,2000,0.10752576825008753
market_share_total,,,,%,nu,2000,0.10752576825008753
market_share_total,,,,%,on,2000,0.23370802342409486
market_share_total,,,,%,pe,2000,0.2987394773169575
market_share_total,,,,%,qc,2000,0.26582123284621195
market_share_total,,,,%,sk,2000,0.24919629695543777
market_share_total,,,,%,yt,2000,0.10752576825008753
