parameter,context,sub_context,target,unit,region,year,value
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ab,2000,0.489687547
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,bc,2000,0.104568879
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,mb,2000,0.315435744
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nb,2000,0.31911314
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nl,2000,0.31911314
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ns,2000,0.31911314
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nt,2000,0.104568879
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nu,2000,0.104568879
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,on,2000,0.306112778
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,pe,2000,0.31911314
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,qc,2000,0.348724636
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,sk,2000,0.342926696
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,yt,2000,0.104568879
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ab,2005,0.418941308
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,bc,2005,0.094759174
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,mb,2005,0.292761773
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nb,2005,0.31494408
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nl,2005,0.31494408
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ns,2005,0.31494408
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nt,2005,0.094759174
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nu,2005,0.094759174
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,on,2005,0.319909058
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,pe,2005,0.31494408
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,qc,2005,0.366328968
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,sk,2005,0.300307357
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,yt,2005,0.094759174
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ab,2010,0.461327082
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,bc,2010,0.083801156
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,mb,2010,0.316174779
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nb,2010,0.369211155
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nl,2010,0.369211155
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ns,2010,0.369211155
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nt,2010,0.083801156
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nu,2010,0.083801156
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,on,2010,0.302933457
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,pe,2010,0.369211155
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,qc,2010,0.346278216
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,sk,2010,0.366582395
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,yt,2010,0.083801156
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ab,2015,0.453732172
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,bc,2015,0.082069739
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,mb,2015,0.346485095
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nb,2015,0.399764597
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nl,2015,0.399764597
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ns,2015,0.399764597
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nt,2015,0.082069739
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nu,2015,0.082069739
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,on,2015,0.344676374
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,pe,2015,0.399764597
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,qc,2015,0.379803915
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,sk,2015,0.347957034
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,yt,2015,0.082069739
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ab,2020,0.485519878
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,bc,2020,0.089056375
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,mb,2020,0.389354012
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nb,2020,0.327540659
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nl,2020,0.327540659
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ns,2020,0.327540659
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nt,2020,0.089056375
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nu,2020,0.089056375
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,on,2020,0.281631642
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,pe,2020,0.327540659
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,qc,2020,0.34526581
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,sk,2020,0.396274889
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,yt,2020,0.089056375
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ab,2025,0.485519878
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,bc,2025,0.089056375
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,mb,2025,0.389354012
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nb,2025,0.327540659
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nl,2025,0.327540659
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ns,2025,0.327540659
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nt,2025,0.089056375
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nu,2025,0.089056375
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,on,2025,0.281631642
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,pe,2025,0.327540659
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,qc,2025,0.34526581
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,sk,2025,0.396274889
