parameter,context,sub_context,target,unit,region,year,value
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ab,2000,0.244843773
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,bc,2000,0.05228444
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,mb,2000,0.157717872
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nb,2000,0.15955657
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nl,2000,0.15955657
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ns,2000,0.15955657
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nt,2000,0.05228444
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nu,2000,0.05228444
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,on,2000,0.153056389
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,pe,2000,0.15955657
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,qc,2000,0.174362318
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,sk,2000,0.171463348
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,yt,2000,0.05228444
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ab,2005,0.209470654
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,bc,2005,0.047379587
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,mb,2005,0.146380887
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nb,2005,0.15747204
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nl,2005,0.15747204
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ns,2005,0.15747204
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nt,2005,0.047379587
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nu,2005,0.047379587
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,on,2005,0.159954529
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,pe,2005,0.15747204
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,qc,2005,0.183164484
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,sk,2005,0.150153678
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,yt,2005,0.047379587
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ab,2010,0.230663541
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,bc,2010,0.041900578
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,mb,2010,0.15808739
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nb,2010,0.184605577
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nl,2010,0.184605577
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ns,2010,0.184605577
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nt,2010,0.041900578
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,nu,2010,0.041900578
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,on,2010,0.151466729
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,pe,2010,0.184605577
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,qc,2010,0.173139108
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,sk,2010,0.183291197
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,yt,2010,0.041900578
service_request,,,.residential.product.building_type.lowmed_density.vintage.1981_2000_bldg_code.heating_cold,GJ,ab,2015,0.226866086
