parameter,context,sub_context,target,unit,region,year,value
service_request,,,.residential.product.building_type.lowmed_density.vintage.2021_2035_bldg_code.heating_cold,GJ,ab,2000,0.194871347
service_request,,,.residential.product.building_type.lowmed_density.vintage.2021_2035_bldg_code.heating_cold,GJ,bc,2000,0.041674735
service_request,,,.residential.product.building_type.lowmed_density.vintage.2021_2035_bldg_code.heating_cold,GJ,mb,2000,0.122188683
service_request,,,.residential.product.building_type.lowmed_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nb,2000,0.137940932
service_request,,,.residential.product.building_type.lowmed_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nl,2000,0.137940932
service_request,,,.residential.product.building_type.lowmed_density.vintage.2021_2035_bldg_code.heating_cold,GJ,ns,2000,0.137940932
service_request,,,.residential.product.building_type.lowmed_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nt,2000,0.041674735
service_request,,,.residential.product.building_type.lowmed_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nu,2000,0.041674735
service_request,,,.residential.product.building_type.lowmed_density.vintage.2021_2035_bldg_code.heating_cold,GJ,on,2000,0.121771295
service_request,,,.residential.product.building_type.lowmed_density.vintage.2021_2035_bldg_code.heating_cold,GJ,pe,2000,0.137940932
service_request,,,.residential.product.building_type.lowmed_density.vintage.2021_2035_bldg_code.heating_cold,GJ,qc,2000,0.133509946
service_request,,,.residential.product.building_type.lowmed_density.vintage.2021_2035_bldg_code.heating_cold,GJ,sk,2000,0.139456665
service_request,,,.residential.product.building_type.lowmed_density.vintage.2021_2035_bldg_code.heating_cold,GJ,yt,2000,0.041674735
service_request,,,.residential.product.building_type.lowmed_density.vintage.2021_2035_bldg_code.heating_cold,GJ,ab,2005,0.195730673
service_request,,,.residential.product.building_type.lowmed_density.vintage.2021_2035_bldg_code.heating_cold,GJ,bc,2005,0.041267222
service_request,,,.residential.product.building_type.lowmed_density.vintage.2021_2035_bldg_code.heating_cold,GJ,mb,2005,0.125108318
service_request,,,.residential.product.building_type.lowmed_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nb,2005,0.138640273
service_request,,,.residential.product.building_type.lowmed_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nl,2005,0.138640273
service_request,,,.residential.product.building_type.lowmed_density.vintage.2021_2035_bldg_code.heating_cold,GJ,ns,2005,0.138640273
service_request,,,.residential.product.building_type.lowmed_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nt,2005,0.041267222
service_request,,,.residential.product.building_type.lowmed_density.vintage.2021_2035_bldg_code.heating_cold,GJ,nu,2005,0.041267222
service_request,,,.residential.product.building_type.lowmed_density.vintage.2021_2035_bldg_code.heating_cold,GJ,on,2005,0.139558068
service_request,,,.residential.product.building_type.lowmed_density.vintage.2021_2035_bldg_code.heating_cold,GJ,pe,2005,0.138640273
