parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,0.0018483016266371923
market_share_total,,,,%,bc,2000,0.016933305345604454
market_share_total,,,,%,mb,2000,0.014182477425158775
market_share_total,,,,%,nb,2000,0.12474035392248199
market_share_total,,,,%,nl,2000,0.1630884642868585
market_share_total,,,,%,ns,2000,0.2806644904161561
market_share_total,,,,%,nt,2000,0.34022550679438907
market_share_total,,,,%,nu,2000,0.3595980676112282
market_share_total,,,,%,on,2000,0.04491396962281548
market_share_total,,,,%,pe,2000,0.3573590044905314
market_share_total,,,,%,qc,2000,0.0949478882937382
market_share_total,,,,%,sk,2000,0.02004720147265373
market_share_total,,,,%,yt,2000,0.31606894272772945
