parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,0.008187089497077032
market_share_total,,,,%,bc,2000,0.08577323815939532
market_share_total,,,,%,mb,2000,0.07079404490548902
market_share_total,,,,%,nb,2000,0.25574113327049985
market_share_total,,,,%,nl,2000,0.2025226078768624
market_share_total,,,,%,ns,2000,0.20389581872667475
market_share_total,,,,%,nt,2000,0.005736162556935394
market_share_total,,,,%,nu,2000,0.0030877784036368815
market_share_total,,,,%,on,2000,0.06419447614175744
market_share_total,,,,%,pe,2000,0.2563075479453279
market_share_total,,,,%,qc,2000,0.26400847503785674
market_share_total,,,,%,sk,2000,0.03432434427285225
market_share_total,,,,%,yt,2000,0.0057183643331875575
