parameter,context,sub_context,target,unit,region,year,value
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,ab,2000,0.208790729
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,bc,2000,0.044651502
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,mb,2000,0.130916447
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,nb,2000,0.147793856
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,nl,2000,0.147793856
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,ns,2000,0.147793856
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,nt,2000,0.044651502
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,nu,2000,0.044651502
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,on,2000,0.130469244
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,pe,2000,0.147793856
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,qc,2000,0.143046371
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,sk,2000,0.149417855
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,yt,2000,0.044651502
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,ab,2005,0.209711435
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,bc,2005,0.044214881
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,mb,2005,0.134044627
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,nb,2005,0.14854315
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,nl,2005,0.14854315
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,ns,2005,0.14854315
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,nt,2005,0.044214881
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,nu,2005,0.044214881
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,on,2005,0.149526501
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,pe,2005,0.14854315
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,qc,2005,0.171036714
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,sk,2005,0.138039883
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,yt,2005,0.044214881
service_request,,,.residential.product.building_type.lowmed_density.vintage.2035_bldg_code.heating_cold,GJ,ab,2010,0.218048517
