parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,0.0007259009275991272
market_share_total,,,,%,bc,2000,0.0120284600289378
market_share_total,,,,%,mb,2000,0.0015487599510356782
market_share_total,,,,%,nb,2000,0.10473675318780593
market_share_total,,,,%,nl,2000,0.11435566794119464
market_share_total,,,,%,ns,2000,0.336804114720852
market_share_total,,,,%,nt,2000,0.5782037320163751
market_share_total,,,,%,nu,2000,0.5596532998134666
market_share_total,,,,%,on,2000,0.015777603497978465
market_share_total,,,,%,pe,2000,0.4256815948712138
market_share_total,,,,%,qc,2000,0.050121958265546815
market_share_total,,,,%,sk,2000,0.0017186972508578045
market_share_total,,,,%,yt,2000,0.548195452226562
