parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,0.04532827304790417
market_share_total,,,,%,bc,2000,0.14798944159061508
market_share_total,,,,%,mb,2000,0.15729124985154855
market_share_total,,,,%,nb,2000,0.0014118596319525375
market_share_total,,,,%,nl,2000,0.0
market_share_total,,,,%,ns,2000,0.0
market_share_total,,,,%,nt,2000,0.0
market_share_total,,,,%,nu,2000,0.0
market_share_total,,,,%,on,2000,0.17929864911037738
market_share_total,,,,%,pe,2000,0.0
market_share_total,,,,%,qc,2000,0.017338526920732966
market_share_total,,,,%,sk,2000,0.172338359977265
market_share_total,,,,%,yt,2000,0.0
