parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,0.387955546875433
market_share_total,,,,%,bc,2000,0.25568395570582386
market_share_total,,,,%,mb,2000,0.18896205068922264
market_share_total,,,,%,nb,2000,0.0006922937408200021
market_share_total,,,,%,nl,2000,0.0
market_share_total,,,,%,ns,2000,0.0
market_share_total,,,,%,nt,2000,0.0
market_share_total,,,,%,nu,2000,0.0
market_share_total,,,,%,on,2000,0.22772150884991188
market_share_total,,,,%,pe,2000,0.0
market_share_total,,,,%,qc,2000,0.01258892891030062
market_share_total,,,,%,sk,2000,0.20944834389495287
market_share_total,,,,%,yt,2000,0.0
