parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,0.02679517
market_share_total,,,,%,bc,2000,0.25047933
market_share_total,,,,%,mb,2000,0.28888772
market_share_total,,,,%,nb,2000,0.78404945
market_share_total,,,,%,nl,2000,0.7580119300000001
market_share_total,,,,%,ns,2000,0.361703
market_share_total,,,,%,nt,2000,0.029018016659382976
market_share_total,,,,%,nu,2000,0.05985092125868259
market_share_total,,,,%,on,2000,0.17747652
market_share_total,,,,%,pe,2000,0.22007927
market_share_total,,,,%,qc,2000,0.7268466100000001
market_share_total,,,,%,sk,2000,0.10301967000000001
market_share_total,,,,%,yt,2000,0.07890561069926597
