parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,0.4793369889665146
market_share_total,,,,%,bc,2000,0.3489370514770805
market_share_total,,,,%,mb,2000,0.35594314034059626
market_share_total,,,,%,nb,2000,0.006561863061377649
market_share_total,,,,%,nl,2000,0.0
market_share_total,,,,%,ns,2000,0.0
market_share_total,,,,%,nt,2000,0.0
market_share_total,,,,%,nu,2000,0.0
market_share_total,,,,%,on,2000,0.3806788093152867
market_share_total,,,,%,pe,2000,0.0
market_share_total,,,,%,qc,2000,0.1097144868760075
market_share_total,,,,%,sk,2000,0.5086047108505863
market_share_total,,,,%,yt,2000,0.0
