parameter,context,sub_context,target,unit,region,year,value
market_share_total,,,,%,ab,2000,0.4433613304425179
market_share_total,,,,%,bc,2000,0.2512237501922812
market_share_total,,,,%,mb,2000,0.19718303582042707
market_share_total,,,,%,nb,2000,0.0006452147083737132
market_share_total,,,,%,nl,2000,0.0
market_share_total,,,,%,ns,2000,0.0
market_share_total,,,,%,nt,2000,0.0
market_share_total,,,,%,nu,2000,0.0
market_share_total,,,,%,on,2000,0.22773957442560128
market_share_total,,,,%,pe,2000,0.0
market_share_total,,,,%,qc,2000,0.014962494314286333
market_share_total,,,,%,sk,2000,0.22124859279662415
market_share_total,,,,%,yt,2000,0.0
