parameter,context,sub_context,target,unit,region,year,value
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,ab,2000,1.96
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,bc,2000,1.96
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,mb,2000,1.96
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nb,2000,1.96
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nl,2000,1.96
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,ns,2000,1.96
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nt,2000,1.96
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nu,2000,1.96
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,on,2000,1.96
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,pe,2000,1.96
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,qc,2000,1.96
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,sk,2000,1.96
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,yt,2000,1.96
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,ab,2005,1.666
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,bc,2005,1.96
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,mb,2005,1.666
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nb,2005,1.666
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nl,2005,1.666
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,ns,2005,1.666
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nt,2005,1.666
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nu,2005,1.666
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,on,2005,1.666
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,pe,2005,1.666
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,qc,2005,1.666
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,sk,2005,1.666
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,yt,2005,1.666
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,ab,2010,1.4161
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,bc,2010,1.96
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,mb,2010,1.4161
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nb,2010,1.4161
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nl,2010,1.4161
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,ns,2010,1.4161
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nt,2010,1.4161
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nu,2010,1.4161
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,on,2010,1.4161
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,pe,2010,1.4161
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,qc,2010,1.4161
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,sk,2010,1.4161
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,yt,2010,1.4161
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,ab,2015,1.203685
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,bc,2015,1.96
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,mb,2015,1.203685
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nb,2015,1.203685
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nl,2015,1.203685
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,ns,2015,1.203685
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nt,2015,1.203685
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nu,2015,1.203685
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,on,2015,1.203685
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,pe,2015,1.203685
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,qc,2015,1.203685
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,sk,2015,1.203685
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,yt,2015,1.203685
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,ab,2020,1.02313225
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,bc,2020,1.96
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,mb,2020,1.02313225
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nb,2020,1.02313225
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nl,2020,1.02313225
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,ns,2020,1.02313225
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nt,2020,1.02313225
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nu,2020,1.02313225
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,on,2020,1.02313225
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,pe,2020,1.02313225
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,qc,2020,1.02313225
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,sk,2020,1.02313225
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,yt,2020,1.02313225
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,ab,2025,0.971975638
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,bc,2025,1.96
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,mb,2025,0.971975638
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nb,2025,0.971975638
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nl,2025,0.971975638
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,ns,2025,0.971975638
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nt,2025,0.971975638
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nu,2025,0.971975638
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,on,2025,0.971975638
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,pe,2025,0.971975638
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,qc,2025,0.971975638
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,sk,2025,0.971975638
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,yt,2025,0.971975638
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,ab,2030,0.923376856
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,bc,2030,1.96
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,mb,2030,0.923376856
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nb,2030,0.923376856
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nl,2030,0.923376856
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,ns,2030,0.923376856
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nt,2030,0.923376856
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nu,2030,0.923376856
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,on,2030,0.923376856
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,pe,2030,0.923376856
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,qc,2030,0.923376856
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,sk,2030,0.923376856
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,yt,2030,0.923376856
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,ab,2035,0.877208013
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,bc,2035,1.96
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,mb,2035,0.877208013
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nb,2035,0.877208013
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nl,2035,0.877208013
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,ns,2035,0.877208013
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nt,2035,0.877208013
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,nu,2035,0.877208013
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,on,2035,0.877208013
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,pe,2035,0.877208013
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,qc,2035,0.877208013
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,sk,2035,0.877208013
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,yt,2035,0.877208013
service_request,,,CIMS.Generic Fuels.Jet Fuel,GJ,ab,2040,0.833347612
