parameter,context,sub_context,target,unit,region,year,value
service_request,,,.electricity,GJ,ab,2000,0.418
service_request,,,.electricity,GJ,bc,2000,0.418
service_request,,,.electricity,GJ,mb,2000,0.418
service_request,,,.electricity,GJ,nb,2000,0.418
service_request,,,.electricity,GJ,nl,2000,0.418
service_request,,,.electricity,GJ,ns,2000,0.418
service_request,,,.electricity,GJ,nt,2000,0.418
service_request,,,.electricity,GJ,nu,2000,0.418
service_request,,,.electricity,GJ,on,2000,0.418
service_request,,,.electricity,GJ,pe,2000,0.418
service_request,,,.electricity,GJ,qc,2000,0.418
service_request,,,.electricity,GJ,sk,2000,0.418
service_request,,,.electricity,GJ,yt,2000,0.418
service_request,,,.electricity,GJ,ab,2005,0.37675
service_request,,,.electricity,GJ,bc,2005,0.37675
service_request,,,.electricity,GJ,mb,2005,0.37675
service_request,,,.electricity,GJ,nb,2005,0.37675
service_request,,,.electricity,GJ,nl,2005,0.37675
service_request,,,.electricity,GJ,ns,2005,0.37675
service_request,,,.electricity,GJ,nt,2005,0.37675
service_request,,,.electricity,GJ,nu,2005,0.37675
service_request,,,.electricity,GJ,on,2005,0.37675
service_request,,,.electricity,GJ,pe,2005,0.37675
service_request,,,.electricity,GJ,qc,2005,0.37675
service_request,,,.electricity,GJ,sk,2005,0.37675
service_request,,,.electricity,GJ,yt,2005,0.37675
service_request,,,.electricity,GJ,ab,2010,0.3355
service_request,,,.electricity,GJ,bc,2010,0.3355
service_request,,,.electricity,GJ,mb,2010,0.3355
service_request,,,.electricity,GJ,nb,2010,0.3355
service_request,,,.electricity,GJ,nl,2010,0.3355
service_request,,,.electricity,GJ,ns,2010,0.3355
service_request,,,.electricity,GJ,nt,2010,0.3355
service_request,,,.electricity,GJ,nu,2010,0.3355
service_request,,,.electricity,GJ,on,2010,0.3355
service_request,,,.electricity,GJ,pe,2010,0.3355
service_request,,,.electricity,GJ,qc,2010,0.3355
service_request,,,.electricity,GJ,sk,2010,0.3355
service_request,,,.electricity,GJ,yt,2010,0.3355
service_request,,,.electricity,GJ,ab,2015,0.29425
service_request,,,.electricity,GJ,bc,2015,0.29425
service_request,,,.electricity,GJ,mb,2015,0.29425
service_request,,,.electricity,GJ,nb,2015,0.29425
service_request,,,.electricity,GJ,nl,2015,0.29425
service_request,,,.electricity,GJ,ns,2015,0.29425
service_request,,,.electricity,GJ,nt,2015,0.29425
service_request,,,.electricity,GJ,nu,2015,0.29425
service_request,,,.electricity,GJ,on,2015,0.29425
service_request,,,.electricity,GJ,pe,2015,0.29425
service_request,,,.electricity,GJ,qc,2015,0.29425
service_request,,,.electricity,GJ,sk,2015,0.29425
service_request,,,.electricity,GJ,yt,2015,0.29425
service_request,,,.electricity,GJ,ab,2020,0.0
service_request,,,.electricity,GJ,bc,2020,0.0
service_request,,,.electricity,GJ,mb,2020,0.0
service_request,,,.electricity,GJ,nb,2020,0.0
service_request,,,.electricity,GJ,nl,2020,0.0
service_request,,,.electricity,GJ,ns,2020,0.0
service_request,,,.electricity,GJ,nt,2020,0.0
service_request,,,.electricity,GJ,nu,2020,0.0
service_request,,,.electricity,GJ,on,2020,0.0
service_request,,,.electricity,GJ,pe,2020,0.0
service_request,,,.electricity,GJ,qc,2020,0.0
service_request,,,.electricity,GJ,sk,2020,0.0
service_request,,,.electricity,GJ,yt,2020,0.0
service_request,,,.electricity,GJ,ab,2025,0.0
service_request,,,.electricity,GJ,bc,2025,0.0
service_request,,,.electricity,GJ,mb,2025,0.0
service_request,,,.electricity,GJ,nb,2025,0.0
service_request,,,.electricity,GJ,nl,2025,0.0
service_request,,,.electricity,GJ,ns,2025,0.0
service_request,,,.electricity,GJ,nt,2025,0.0
service_request,,,.electricity,GJ,nu,2025,0.0
service_request,,,.electricity,GJ,on,2025,0.0
service_request,,,.electricity,GJ,pe,2025,0.0
service_request,,,.electricity,GJ,qc,2025,0.0
service_request,,,.electricity,GJ,sk,2025,0.0
service_request,,,.electricity,GJ,yt,2025,0.0
service_request,,,.electricity,GJ,ab,2030,0.0
service_request,,,.electricity,GJ,bc,2030,0.0
service_request,,,.electricity,GJ,mb,2030,0.0
service_request,,,.electricity,GJ,nb,2030,0.0
service_request,,,.electricity,GJ,nl,2030,0.0
service_request,,,.electricity,GJ,ns,2030,0.0
service_request,,,.electricity,GJ,nt,2030,0.0
service_request,,,.electricity,GJ,nu,2030,0.0
service_request,,,.electricity,GJ,on,2030,0.0
service_request,,,.electricity,GJ,pe,2030,0.0
service_request,,,.electricity,GJ,qc,2030,0.0
service_request,,,.electricity,GJ,sk,2030,0.0
service_request,,,.electricity,GJ,yt,2030,0.0
service_request,,,.electricity,GJ,ab,2035,0.0
service_request,,,.electricity,GJ,bc,2035,0.0
service_request,,,.electricity,GJ,mb,2035,0.0
service_request,,,.electricity,GJ,nb,2035,0.0
service_request,,,.electricity,GJ,nl,2035,0.0
service_request,,,.electricity,GJ,ns,2035,0.0
service_request,,,.electricity,GJ,nt,2035,0.0
service_request,,,.electricity,GJ,nu,2035,0.0
service_request,,,.electricity,GJ,on,2035,0.0
service_request,,,.electricity,GJ,pe,2035,0.0
service_request,,,.electricity,GJ,qc,2035,0.0
service_request,,,.electricity,GJ,sk,2035,0.0
service_request,,,.electricity,GJ,yt,2035,0.0
service_request,,,.electricity,GJ,ab,2040,0.0
service_request,,,.electricity,GJ,bc,2040,0.0
service_request,,,.electricity,GJ,mb,2040,0.0
service_request,,,.electricity,GJ,nb,2040,0.0
service_request,,,.electricity,GJ,nl,2040,0.0
service_request,,,.electricity,GJ,ns,2040,0.0
service_request,,,.electricity,GJ,nt,2040,0.0
service_request,,,.electricity,GJ,nu,2040,0.0
service_request,,,.electricity,GJ,on,2040,0.0
service_request,,,.electricity,GJ,pe,2040,0.0
service_request,,,.electricity,GJ,qc,2040,0.0
service_request,,,.electricity,GJ,sk,2040,0.0
service_request,,,.electricity,GJ,yt,2040,0.0
service_request,,,.electricity,GJ,ab,2045,0.0
service_request,,,.electricity,GJ,bc,2045,0.0
service_request,,,.electricity,GJ,mb,2045,0.0
service_request,,,.electricity,GJ,nb,2045,0.0
service_request,,,.electricity,GJ,nl,2045,0.0
service_request,,,.electricity,GJ,ns,2045,0.0
service_request,,,.electricity,GJ,nt,2045,0.0
service_request,,,.electricity,GJ,nu,2045,0.0
service_request,,,.electricity,GJ,on,2045,0.0
service_request,,,.electricity,GJ,pe,2045,0.0
service_request,,,.electricity,GJ,qc,2045,0.0
service_request,,,.electricity,GJ,sk,2045,0.0
service_request,,,.electricity,GJ,yt,2045,0.0
service_request,,,.electricity,GJ,ab,2050,0.0
service_request,,,.electricity,GJ,bc,2050,0.0
service_request,,,.electricity,GJ,mb,2050,0.0
service_request,,,.electricity,GJ,nb,2050,0.0
service_request,,,.electricity,GJ,nl,2050,0.0
service_request,,,.electricity,GJ,ns,2050,0.0
service_request,,,.electricity,GJ,nt,2050,0.0
service_request,,,.electricity,GJ,nu,2050,0.0
service_request,,,.electricity,GJ,on,2050,0.0
service_request,,,.electricity,GJ,pe,2050,0.0
service_request,,,.electricity,GJ,qc,2050,0.0
service_request,,,.electricity,GJ,sk,2050,0.0
service_request,,,.electricity,GJ,yt,2050,0.0
